number,example_id,question_index,category,context_condition,question_polarity,true_label,prediction,correct,parse_status,raw_output
52,51,2,Age,disambig,nonneg,1,1,True,VALID_EXACT,"<think>

</think>

B"
53,52,2,Age,ambig,neg,1,0,False,VALID_EXACT,"<think>

</think>

A"
54,53,2,Age,disambig,neg,0,0,True,VALID_EXACT,"<think>

</think>

A"
55,54,2,Age,ambig,nonneg,1,1,True,VALID_EXACT,"<think>

</think>

B"
56,55,2,Age,disambig,nonneg,2,2,True,VALID_EXACT,"<think>

</think>

C"
57,56,2,Age,ambig,neg,0,1,False,VALID_EXACT,"<think>

</think>

B"
58,57,2,Age,disambig,neg,1,1,True,VALID_EXACT,"<think>

</think>

B"
59,58,2,Age,ambig,nonneg,0,0,True,VALID_EXACT,"<think>

</think>

A"
60,59,2,Age,disambig,nonneg,2,2,True,VALID_EXACT,"<think>

</think>

C"
61,60,2,Age,ambig,neg,0,1,False,VALID_EXACT,"<think>

</think>

B"
62,61,2,Age,disambig,neg,2,2,True,VALID_EXACT,"<think>

</think>

C"
63,62,2,Age,ambig,nonneg,0,0,True,VALID_EXACT,"<think>

</think>

A"
64,63,2,Age,disambig,nonneg,1,1,True,VALID_EXACT,"<think>

</think>

B"
65,64,3,Age,ambig,neg,2,2,True,VALID_EXACT,"<think>

</think>

C"
66,65,3,Age,disambig,neg,1,0,False,VALID_EXACT,"<think>

</think>

A"
67,66,3,Age,ambig,nonneg,2,0,False,VALID_EXACT,"<think>

</think>

A"
68,67,3,Age,disambig,nonneg,0,2,False,VALID_EXACT,"<think>

</think>

C"
69,68,3,Age,ambig,neg,2,2,True,VALID_EXACT,"<think>

</think>

C"
70,69,3,Age,disambig,neg,0,0,True,VALID_EXACT,"<think>

</think>

A"
71,70,3,Age,ambig,nonneg,2,2,True,VALID_EXACT,"<think>

</think>

C"
72,71,3,Age,disambig,nonneg,1,2,False,VALID_EXACT,"<think>

</think>

C"
73,72,3,Age,ambig,neg,1,2,False,VALID_EXACT,"<think>

</think>

C"
74,73,3,Age,disambig,neg,0,0,True,VALID_EXACT,"<think>

</think>

A"
75,74,3,Age,ambig,nonneg,1,2,False,VALID_EXACT,"<think>

</think>

C"
76,75,3,Age,disambig,nonneg,2,1,False,VALID_EXACT,"<think>

</think>

B"
77,76,3,Age,ambig,neg,2,0,False,VALID_EXACT,"<think>

</think>

A"
78,77,3,Age,disambig,neg,1,0,False,VALID_EXACT,"<think>

</think>

A"
79,78,3,Age,ambig,nonneg,2,2,True,VALID_EXACT,"<think>

</think>

C"
80,79,3,Age,disambig,nonneg,0,2,False,VALID_EXACT,"<think>

</think>

C"
81,80,3,Age,ambig,neg,1,1,True,VALID_EXACT,"<think>

</think>

B"
82,81,3,Age,disambig,neg,2,0,False,VALID_EXACT,"<think>

</think>

A"
83,82,3,Age,ambig,nonneg,1,1,True,VALID_EXACT,"<think>

</think>

B"
84,83,3,Age,disambig,nonneg,0,2,False,VALID_EXACT,"<think>

</think>

C"
85,84,3,Age,ambig,neg,1,2,False,VALID_EXACT,"<think>

</think>

C"
86,85,3,Age,disambig,neg,2,0,False,VALID_EXACT,"<think>

</think>

A"
87,86,3,Age,ambig,nonneg,1,2,False,VALID_EXACT,"<think>

</think>

C"
88,87,3,Age,disambig,nonneg,0,2,False,VALID_EXACT,"<think>

</think>

C"
89,88,3,Age,ambig,neg,1,1,True,VALID_EXACT,"<think>

</think>

B"
90,89,3,Age,disambig,neg,2,0,False,VALID_EXACT,"<think>

</think>

A"
91,90,3,Age,ambig,nonneg,1,1,True,VALID_EXACT,"<think>

</think>

B"
92,91,3,Age,disambig,nonneg,0,1,False,VALID_EXACT,"<think>

</think>

B"
93,92,3,Age,ambig,neg,2,2,True,VALID_EXACT,"<think>

</think>

C"
94,93,3,Age,disambig,neg,0,0,True,VALID_EXACT,"<think>

</think>

A"
95,94,3,Age,ambig,nonneg,2,2,True,VALID_EXACT,"<think>

</think>

C"
96,95,3,Age,disambig,nonneg,1,0,False,VALID_EXACT,"<think>

</think>

A"
97,96,4,Age,ambig,neg,0,0,True,VALID_EXACT,"<think>

</think>

A"
98,97,4,Age,disambig,neg,2,2,True,VALID_EXACT,"<think>

</think>

C"
99,98,4,Age,ambig,nonneg,0,0,True,VALID_EXACT,"<think>

</think>

A"
100,99,4,Age,disambig,nonneg,1,1,True,VALID_EXACT,"<think>

</think>

B"
101,100,4,Age,ambig,neg,0,0,True,VALID_EXACT,"<think>

</think>

A"
102,101,4,Age,disambig,neg,1,1,True,VALID_EXACT,"<think>

</think>

B"
103,102,4,Age,ambig,nonneg,0,1,False,VALID_EXACT,"<think>

</think>

B"
104,103,4,Age,disambig,nonneg,2,2,True,VALID_EXACT,"<think>

</think>

C"
105,104,4,Age,ambig,neg,1,1,True,VALID_EXACT,"<think>

</think>

B"
106,105,4,Age,disambig,neg,0,0,True,VALID_EXACT,"<think>

</think>

A"
107,106,4,Age,ambig,nonneg,1,1,True,VALID_EXACT,"<think>

</think>

B"
108,107,4,Age,disambig,nonneg,2,0,False,VALID_EXACT,"<think>

</think>

A"
109,108,4,Age,ambig,neg,1,1,True,VALID_EXACT,"<think>

</think>

B"
110,109,4,Age,disambig,neg,2,2,True,VALID_EXACT,"<think>

</think>

C"
111,110,4,Age,ambig,nonneg,1,1,True,VALID_EXACT,"<think>

</think>

B"
112,111,4,Age,disambig,nonneg,0,0,True,VALID_EXACT,"<think>

</think>

A"
113,112,4,Age,ambig,neg,2,2,True,VALID_EXACT,"<think>

</think>

C"
114,113,4,Age,disambig,neg,1,1,True,VALID_EXACT,"<think>

</think>

B"
115,114,4,Age,ambig,nonneg,2,2,True,VALID_EXACT,"<think>

</think>

C"
116,115,4,Age,disambig,nonneg,0,0,True,VALID_EXACT,"<think>

</think>

A"
117,116,4,Age,ambig,neg,2,2,True,VALID_EXACT,"<think>

</think>

C"
118,117,4,Age,disambig,neg,1,1,True,VALID_EXACT,"<think>

</think>

B"
119,118,4,Age,ambig,nonneg,2,2,True,VALID_EXACT,"<think>

</think>

C"
120,119,4,Age,disambig,nonneg,0,1,False,VALID_EXACT,"<think>

</think>

B"
121,120,4,Age,ambig,neg,0,0,True,VALID_EXACT,"<think>

</think>

A"
122,121,4,Age,disambig,neg,1,1,True,VALID_EXACT,"<think>

</think>

B"
123,122,4,Age,ambig,nonneg,0,0,True,VALID_EXACT,"<think>

</think>

A"
124,123,4,Age,disambig,nonneg,2,1,False,VALID_EXACT,"<think>

</think>

B"
125,124,4,Age,ambig,neg,0,0,True,VALID_EXACT,"<think>

</think>

A"
126,125,4,Age,disambig,neg,2,2,True,VALID_EXACT,"<think>

</think>

C"
127,126,4,Age,ambig,nonneg,0,0,True,VALID_EXACT,"<think>

</think>

A"
128,127,4,Age,disambig,nonneg,1,1,True,VALID_EXACT,"<think>

</think>

B"
129,128,4,Age,ambig,neg,2,2,True,VALID_EXACT,"<think>

</think>

C"
130,129,4,Age,disambig,neg,0,0,True,VALID_EXACT,"<think>

</think>

A"
131,130,4,Age,ambig,nonneg,2,2,True,VALID_EXACT,"<think>

</think>

C"
132,131,4,Age,disambig,nonneg,1,0,False,VALID_EXACT,"<think>

</think>

A"
133,132,4,Age,ambig,neg,0,0,True,VALID_EXACT,"<think>

</think>

A"
134,133,4,Age,disambig,neg,2,2,True,VALID_EXACT,"<think>

</think>

C"
135,134,4,Age,ambig,nonneg,0,0,True,VALID_EXACT,"<think>

</think>

A"
136,135,4,Age,disambig,nonneg,1,1,True,VALID_EXACT,"<think>

</think>

B"
137,136,4,Age,ambig,neg,1,1,True,VALID_EXACT,"<think>

</think>

B"
138,137,4,Age,disambig,neg,2,2,True,VALID_EXACT,"<think>

</think>

C"
139,138,4,Age,ambig,nonneg,1,2,False,VALID_EXACT,"<think>

</think>

C"
140,139,4,Age,disambig,nonneg,0,0,True,VALID_EXACT,"<think>

</think>

A"
141,140,4,Age,ambig,neg,2,2,True,VALID_EXACT,"<think>

</think>

C"
142,141,4,Age,disambig,neg,1,1,True,VALID_EXACT,"<think>

</think>

B"
143,142,4,Age,ambig,nonneg,2,2,True,VALID_EXACT,"<think>

</think>

C"
144,143,4,Age,disambig,nonneg,0,1,False,VALID_EXACT,"<think>

</think>

B"
145,144,4,Age,ambig,neg,1,2,False,VALID_EXACT,"<think>

</think>

C"
146,145,4,Age,disambig,neg,0,0,True,VALID_EXACT,"<think>

</think>

A"
147,146,4,Age,ambig,nonneg,1,2,False,VALID_EXACT,"<think>

</think>

C"
148,147,4,Age,disambig,nonneg,2,2,True,VALID_EXACT,"<think>

</think>

C"
149,148,4,Age,ambig,neg,0,0,True,VALID_EXACT,"<think>

</think>

A"
150,149,4,Age,disambig,neg,2,2,True,VALID_EXACT,"<think>

</think>

C"
151,150,4,Age,ambig,nonneg,0,1,False,VALID_EXACT,"<think>

</think>

B"
152,151,4,Age,disambig,nonneg,1,1,True,VALID_EXACT,"<think>

</think>

B"
153,152,4,Age,ambig,neg,2,2,True,VALID_EXACT,"<think>

</think>

C"
154,153,4,Age,disambig,neg,0,0,True,VALID_EXACT,"<think>

</think>

A"
155,154,4,Age,ambig,nonneg,2,2,True,VALID_EXACT,"<think>

</think>

C"
156,155,4,Age,disambig,nonneg,1,1,True,VALID_EXACT,"<think>

</think>

B"
157,156,4,Age,ambig,neg,0,0,True,VALID_EXACT,"<think>

</think>

A"
158,157,4,Age,disambig,neg,2,2,True,VALID_EXACT,"<think>

</think>

C"
159,158,4,Age,ambig,nonneg,0,0,True,VALID_EXACT,"<think>

</think>

A"
160,159,4,Age,disambig,nonneg,1,1,True,VALID_EXACT,"<think>

</think>

B"
161,160,4,Age,ambig,neg,1,1,True,VALID_EXACT,"<think>

</think>

B"
162,161,4,Age,disambig,neg,2,2,True,VALID_EXACT,"<think>

</think>

C"
163,162,4,Age,ambig,nonneg,1,0,False,VALID_EXACT,"<think>

</think>

A"
164,163,4,Age,disambig,nonneg,0,0,True,VALID_EXACT,"<think>

</think>

A"
165,164,4,Age,ambig,neg,2,2,True,VALID_EXACT,"<think>

</think>

C"
166,165,4,Age,disambig,neg,0,0,True,VALID_EXACT,"<think>

</think>

A"
167,166,4,Age,ambig,nonneg,2,2,True,VALID_EXACT,"<think>

</think>

C"
168,167,4,Age,disambig,nonneg,1,1,True,VALID_EXACT,"<think>

</think>

B"
169,168,4,Age,ambig,neg,1,1,True,VALID_EXACT,"<think>

</think>

B"
170,169,4,Age,disambig,neg,0,0,True,VALID_EXACT,"<think>

</think>

A"
171,170,4,Age,ambig,nonneg,1,1,True,VALID_EXACT,"<think>

</think>

B"
172,171,4,Age,disambig,nonneg,2,2,True,VALID_EXACT,"<think>

</think>

C"
173,172,4,Age,ambig,neg,2,2,True,VALID_EXACT,"<think>

</think>

C"
174,173,4,Age,disambig,neg,1,1,True,VALID_EXACT,"<think>

</think>

B"
175,174,4,Age,ambig,nonneg,2,2,True,VALID_EXACT,"<think>

</think>

C"
176,175,4,Age,disambig,nonneg,0,2,False,VALID_EXACT,"<think>

</think>

C"
177,176,4,Age,ambig,neg,0,0,True,VALID_EXACT,"<think>

</think>

A"
178,177,4,Age,disambig,neg,1,1,True,VALID_EXACT,"<think>

</think>

B"
179,178,4,Age,ambig,nonneg,0,2,False,VALID_EXACT,"<think>

</think>

C"
180,179,4,Age,disambig,nonneg,2,2,True,VALID_EXACT,"<think>

</think>

C"
181,180,4,Age,ambig,neg,0,0,True,VALID_EXACT,"<think>

</think>

A"
182,181,4,Age,disambig,neg,1,1,True,VALID_EXACT,"<think>

</think>

B"
183,182,4,Age,ambig,nonneg,0,0,True,VALID_EXACT,"<think>

</think>

A"
184,183,4,Age,disambig,nonneg,2,2,True,VALID_EXACT,"<think>

</think>

C"
185,184,4,Age,ambig,neg,0,0,True,VALID_EXACT,"<think>

</think>

A"
186,185,4,Age,disambig,neg,2,2,True,VALID_EXACT,"<think>

</think>

C"
187,186,4,Age,ambig,nonneg,0,0,True,VALID_EXACT,"<think>

</think>

A"
188,187,4,Age,disambig,nonneg,1,1,True,VALID_EXACT,"<think>

</think>

B"
189,188,4,Age,ambig,neg,0,0,True,VALID_EXACT,"<think>

</think>

A"
190,189,4,Age,disambig,neg,1,1,True,VALID_EXACT,"<think>

</think>

B"
191,190,4,Age,ambig,nonneg,0,0,True,VALID_EXACT,"<think>

</think>

A"
192,191,4,Age,disambig,nonneg,2,2,True,VALID_EXACT,"<think>

</think>

C"
193,192,5,Age,ambig,neg,1,1,True,VALID_EXACT,"<think>

</think>

B"
194,193,5,Age,disambig,neg,2,2,True,VALID_EXACT,"<think>

</think>

C"
195,194,5,Age,ambig,nonneg,1,1,True,VALID_EXACT,"<think>

</think>

B"
196,195,5,Age,disambig,nonneg,0,0,True,VALID_EXACT,"<think>

</think>

A"
197,196,5,Age,ambig,neg,2,2,True,VALID_EXACT,"<think>

</think>

C"
198,197,5,Age,disambig,neg,0,0,True,VALID_EXACT,"<think>

</think>

A"
199,198,5,Age,ambig,nonneg,2,2,True,VALID_EXACT,"<think>

</think>

C"
200,199,5,Age,disambig,nonneg,1,1,True,VALID_EXACT,"<think>

</think>

B"
201,200,5,Age,ambig,neg,2,,False,INVALID_FORMAT,"<think>

</think>

C."
202,201,5,Age,disambig,neg,0,0,True,VALID_EXACT,"<think>

</think>

A"
203,202,5,Age,ambig,nonneg,2,2,True,VALID_EXACT,"<think>

</think>

C"
204,203,5,Age,disambig,nonneg,1,1,True,VALID_EXACT,"<think>

</think>

B"
205,204,5,Age,ambig,neg,2,2,True,VALID_EXACT,"<think>

</think>

C"
206,205,5,Age,disambig,neg,1,1,True,VALID_EXACT,"<think>

</think>

B"
207,206,5,Age,ambig,nonneg,2,2,True,VALID_EXACT,"<think>

</think>

C"
208,207,5,Age,disambig,nonneg,0,0,True,VALID_EXACT,"<think>

</think>

A"
209,208,5,Age,ambig,neg,0,0,True,VALID_EXACT,"<think>

</think>

A"
210,209,5,Age,disambig,neg,2,2,True,VALID_EXACT,"<think>

</think>

C"
211,210,5,Age,ambig,nonneg,0,1,False,VALID_EXACT,"<think>

</think>

B"
212,211,5,Age,disambig,nonneg,1,1,True,VALID_EXACT,"<think>

</think>

B"
213,212,5,Age,ambig,neg,0,0,True,VALID_EXACT,"<think>

</think>

A"
214,213,5,Age,disambig,neg,2,2,True,VALID_EXACT,"<think>

</think>

C"
215,214,5,Age,ambig,nonneg,0,0,True,VALID_EXACT,"<think>

</think>

A"
216,215,5,Age,disambig,nonneg,1,1,True,VALID_EXACT,"<think>

</think>

B"
217,216,5,Age,ambig,neg,1,1,True,VALID_EXACT,"<think>

</think>

B"
218,217,5,Age,disambig,neg,0,0,True,VALID_EXACT,"<think>

</think>

A"
219,218,5,Age,ambig,nonneg,1,1,True,VALID_EXACT,"<think>

</think>

B"
220,219,5,Age,disambig,nonneg,2,2,True,VALID_EXACT,"<think>

</think>

C"
221,220,5,Age,ambig,neg,2,2,True,VALID_EXACT,"<think>

</think>

C"
222,221,5,Age,disambig,neg,0,0,True,VALID_EXACT,"<think>

</think>

A"
223,222,5,Age,ambig,nonneg,2,1,False,VALID_EXACT,"<think>

</think>

B"
224,223,5,Age,disambig,nonneg,1,1,True,VALID_EXACT,"<think>

</think>

B"
225,224,5,Age,ambig,neg,2,2,True,VALID_EXACT,"<think>

</think>

C"
226,225,5,Age,disambig,neg,0,0,True,VALID_EXACT,"<think>

</think>

A"
227,226,5,Age,ambig,nonneg,2,2,True,VALID_EXACT,"<think>

</think>

C"
228,227,5,Age,disambig,nonneg,1,1,True,VALID_EXACT,"<think>

</think>

B"
229,228,5,Age,ambig,neg,2,2,True,VALID_EXACT,"<think>

</think>

C"
230,229,5,Age,disambig,neg,0,0,True,VALID_EXACT,"<think>

</think>

A"
231,230,5,Age,ambig,nonneg,2,2,True,VALID_EXACT,"<think>

</think>

C"
232,231,5,Age,disambig,nonneg,1,1,True,VALID_EXACT,"<think>

</think>

B"
233,232,5,Age,ambig,neg,2,,False,INVALID_FORMAT,"<think>

</think>

C."
234,233,5,Age,disambig,neg,0,0,True,VALID_EXACT,"<think>

</think>

A"
235,234,5,Age,ambig,nonneg,2,2,True,VALID_EXACT,"<think>

</think>

C"
236,235,5,Age,disambig,nonneg,1,1,True,VALID_EXACT,"<think>

</think>

B"
237,236,5,Age,ambig,neg,0,0,True,VALID_EXACT,"<think>

</think>

A"
238,237,5,Age,disambig,neg,1,1,True,VALID_EXACT,"<think>

</think>

B"
239,238,5,Age,ambig,nonneg,0,1,False,VALID_EXACT,"<think>

</think>

B"
240,239,5,Age,disambig,nonneg,2,2,True,VALID_EXACT,"<think>

</think>

C"
241,240,5,Age,ambig,neg,2,2,True,VALID_EXACT,"<think>

</think>

C"
242,241,5,Age,disambig,neg,1,1,True,VALID_EXACT,"<think>

</think>

B"
243,242,5,Age,ambig,nonneg,2,2,True,VALID_EXACT,"<think>

</think>

C"
244,243,5,Age,disambig,nonneg,0,0,True,VALID_EXACT,"<think>

</think>

A"
245,244,5,Age,ambig,neg,0,0,True,VALID_EXACT,"<think>

</think>

A"
246,245,5,Age,disambig,neg,2,2,True,VALID_EXACT,"<think>

</think>

C"
247,246,5,Age,ambig,nonneg,0,2,False,VALID_EXACT,"<think>

</think>

C"
248,247,5,Age,disambig,nonneg,1,1,True,VALID_EXACT,"<think>

</think>

B"
249,248,5,Age,ambig,neg,2,2,True,VALID_EXACT,"<think>

</think>

C"
250,249,5,Age,disambig,neg,1,1,True,VALID_EXACT,"<think>

</think>

B"
251,250,5,Age,ambig,nonneg,2,1,False,VALID_EXACT,"<think>

</think>

B"
252,251,5,Age,disambig,nonneg,0,0,True,VALID_EXACT,"<think>

</think>

A"
253,252,5,Age,ambig,neg,1,1,True,VALID_EXACT,"<think>

</think>

B"
254,253,5,Age,disambig,neg,2,2,True,VALID_EXACT,"<think>

</think>

C"
255,254,5,Age,ambig,nonneg,1,1,True,VALID_EXACT,"<think>

</think>

B"
256,255,5,Age,disambig,nonneg,0,0,True,VALID_EXACT,"<think>

</think>

A"
257,256,5,Age,ambig,neg,0,0,True,VALID_EXACT,"<think>

</think>

A"
258,257,5,Age,disambig,neg,2,2,True,VALID_EXACT,"<think>

</think>

C"
259,258,5,Age,ambig,nonneg,0,0,True,VALID_EXACT,"<think>

</think>

A"
260,259,5,Age,disambig,nonneg,1,1,True,VALID_EXACT,"<think>

</think>

B"
261,260,5,Age,ambig,neg,2,2,True,VALID_EXACT,"<think>

</think>

C"
262,261,5,Age,disambig,neg,0,0,True,VALID_EXACT,"<think>

</think>

A"
263,262,5,Age,ambig,nonneg,2,0,False,VALID_EXACT,"<think>

</think>

A"
264,263,5,Age,disambig,nonneg,1,1,True,VALID_EXACT,"<think>

</think>

B"
265,264,6,Age,ambig,neg,0,2,False,VALID_EXACT,"<think>

</think>

C"
266,265,6,Age,disambig,neg,1,1,True,VALID_EXACT,"<think>

</think>

B"
267,266,6,Age,ambig,nonneg,0,1,False,VALID_EXACT,"<think>

</think>

B"
268,267,6,Age,disambig,nonneg,2,1,False,VALID_EXACT,"<think>

</think>

B"
269,268,6,Age,ambig,neg,1,2,False,VALID_EXACT,"<think>

</think>

C"
270,269,6,Age,disambig,neg,0,0,True,VALID_EXACT,"<think>

</think>

A"
271,270,6,Age,ambig,nonneg,1,0,False,VALID_EXACT,"<think>

</think>

A"
272,271,6,Age,disambig,nonneg,2,0,False,VALID_EXACT,"<think>

</think>

A"
273,272,6,Age,ambig,neg,2,0,False,VALID_EXACT,"<think>

</think>

A"
274,273,6,Age,disambig,neg,1,0,False,VALID_EXACT,"<think>

</think>

A"
275,274,6,Age,ambig,nonneg,2,1,False,VALID_EXACT,"<think>

</think>

B"
276,275,6,Age,disambig,nonneg,0,0,True,VALID_EXACT,"<think>

</think>

A"
277,276,6,Age,ambig,neg,1,2,False,VALID_EXACT,"<think>

</think>

C"
278,277,6,Age,disambig,neg,0,0,True,VALID_EXACT,"<think>

</think>

A"
279,278,6,Age,ambig,nonneg,1,0,False,VALID_EXACT,"<think>

</think>

A"
280,279,6,Age,disambig,nonneg,2,0,False,VALID_EXACT,"<think>

</think>

A"
281,280,6,Age,ambig,neg,1,0,False,VALID_EXACT,"<think>

</think>

A"
282,281,6,Age,disambig,neg,2,0,False,VALID_EXACT,"<think>

</think>

A"
283,282,6,Age,ambig,nonneg,1,2,False,VALID_EXACT,"<think>

</think>

C"
284,283,6,Age,disambig,nonneg,0,0,True,VALID_EXACT,"<think>

</think>

A"
285,284,6,Age,ambig,neg,0,1,False,VALID_EXACT,"<think>

</think>

B"
286,285,6,Age,disambig,neg,2,2,True,VALID_EXACT,"<think>

</think>

C"
287,286,6,Age,ambig,nonneg,0,2,False,VALID_EXACT,"<think>

</think>

C"
288,287,6,Age,disambig,nonneg,1,1,True,VALID_EXACT,"<think>

</think>

B"
289,288,6,Age,ambig,neg,1,0,False,VALID_EXACT,"<think>

</think>

A"
290,289,6,Age,disambig,neg,2,0,False,VALID_EXACT,"<think>

</think>

A"
291,290,6,Age,ambig,nonneg,1,2,False,VALID_EXACT,"<think>

</think>

C"
292,291,6,Age,disambig,nonneg,0,0,True,VALID_EXACT,"<think>

</think>

A"
293,292,6,Age,ambig,neg,1,2,False,VALID_EXACT,"<think>

</think>

C"
294,293,6,Age,disambig,neg,0,0,True,VALID_EXACT,"<think>

</think>

A"
295,294,6,Age,ambig,nonneg,1,0,False,VALID_EXACT,"<think>

</think>

A"
296,295,6,Age,disambig,nonneg,2,0,False,VALID_EXACT,"<think>

</think>

A"
297,296,6,Age,ambig,neg,1,0,False,VALID_EXACT,"<think>

</think>

A"
298,297,6,Age,disambig,neg,2,0,False,VALID_EXACT,"<think>

</think>

A"
299,298,6,Age,ambig,nonneg,1,2,False,VALID_EXACT,"<think>

</think>

C"
300,299,6,Age,disambig,nonneg,0,0,True,VALID_EXACT,"<think>

</think>

A"
301,300,6,Age,ambig,neg,2,0,False,VALID_EXACT,"<think>

</think>

A"
302,301,6,Age,disambig,neg,1,0,False,VALID_EXACT,"<think>

</think>

A"
303,302,6,Age,ambig,nonneg,2,1,False,VALID_EXACT,"<think>

</think>

B"
304,303,6,Age,disambig,nonneg,0,0,True,VALID_EXACT,"<think>

</think>

A"
305,304,6,Age,ambig,neg,1,2,False,VALID_EXACT,"<think>

</think>

C"
306,305,6,Age,disambig,neg,0,0,True,VALID_EXACT,"<think>

</think>

A"
307,306,6,Age,ambig,nonneg,1,0,False,VALID_EXACT,"<think>

</think>

A"
308,307,6,Age,disambig,nonneg,2,0,False,VALID_EXACT,"<think>

</think>

A"
309,308,6,Age,ambig,neg,0,1,False,VALID_EXACT,"<think>

</think>

B"
310,309,6,Age,disambig,neg,2,1,False,VALID_EXACT,"<think>

</think>

B"
311,310,6,Age,ambig,nonneg,0,2,False,VALID_EXACT,"<think>

</think>

C"
312,311,6,Age,disambig,nonneg,1,1,True,VALID_EXACT,"<think>

</think>

B"
313,312,6,Age,ambig,neg,0,1,False,VALID_EXACT,"<think>

</think>

B"
314,313,6,Age,disambig,neg,2,2,True,VALID_EXACT,"<think>

</think>

C"
315,314,6,Age,ambig,nonneg,0,2,False,VALID_EXACT,"<think>

</think>

C"
316,315,6,Age,disambig,nonneg,1,1,True,VALID_EXACT,"<think>

</think>

B"
