Result Level,Model,condition_id,Analysis Category,Context,Question Polarity,Source File,Question Index,N,Scorable N,Valid,Invalid,Coverage (%),Overall Accuracy (%),AMB Accuracy / UNKNOWN (%),DIS Accuracy (%),UNKNOWN Response Rate Valid (%),"sAMB [-1,1]",sAMB x100,"sDIS [-1,1]",sDIS x100,AMB Non-UNKNOWN Guess Rate (%),AMB Stereotype Share Among Non-UNKNOWN (%),Aligned DIS Accuracy (%),Nonaligned DIS Accuracy (%),Nonaligned - Aligned (pp),n_biased,n_anti,n_unknown,n_dis_aligned,n_dis_nonaligned,Notes
CATEGORY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Religion,ALL,ALL,ALL,ALL,1200,1200,1200,0,100.0,83.5,75.0,92.0,38.583,0.07,7.0,0.073254,7.325,25.0,64.0,96.333,87.667,-8.667,N/A,N/A,N/A,300,300,Category-level pooled result across both contexts and both polarities.
CATEGORY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,SES,ALL,ALL,ALL,ALL,6864,6864,6864,0,100.0,80.449,61.83,99.068,31.046,0.274476,27.448,0.031259,3.126,38.17,85.954,99.658,98.452,-1.205,N/A,N/A,N/A,1752,1680,Category-level pooled result across both contexts and both polarities.
CATEGORY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Sexual orientation,ALL,ALL,ALL,ALL,864,864,864,0,100.0,84.838,77.083,92.593,40.394,0.030093,3.009,-0.014423,-1.442,22.917,56.566,92.13,93.056,0.926,N/A,N/A,N/A,216,216,Category-level pooled result across both contexts and both polarities.
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Age,ambig,neg,ALL,ALL,920,920,920,0,100.0,51.848,51.848,N/A,51.848,0.361957,36.196,N/A,N/A,48.152,87.585,N/A,N/A,N/A,388,55,477,0,0,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Age,ambig,nonneg,ALL,ALL,920,920,920,0,100.0,35.109,35.109,N/A,35.109,0.331522,33.152,N/A,N/A,64.891,75.544,N/A,N/A,N/A,451,146,323,0,0,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Age,disambig,neg,ALL,ALL,920,920,920,0,100.0,96.413,N/A,96.413,0.0,N/A,N/A,0.019565,1.957,N/A,N/A,97.391,95.435,-1.957,469,451,0,460,460,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Age,disambig,nonneg,ALL,ALL,920,920,920,0,100.0,86.304,N/A,86.304,0.761,N/A,N/A,0.023001,2.3,N/A,N/A,87.391,85.217,-2.174,467,446,7,460,460,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Disability status,ambig,neg,ALL,ALL,389,389,389,0,100.0,47.044,47.044,N/A,47.044,0.421594,42.159,N/A,N/A,52.956,89.806,N/A,N/A,N/A,185,21,183,0,0,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Disability status,ambig,nonneg,ALL,ALL,389,389,389,0,100.0,48.586,48.586,N/A,48.586,0.241645,24.165,N/A,N/A,51.414,73.5,N/A,N/A,N/A,147,53,189,0,0,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Disability status,disambig,neg,ALL,ALL,389,389,389,0,100.0,96.658,N/A,96.658,1.542,N/A,N/A,0.065274,6.527,N/A,N/A,100.0,93.229,-6.771,204,179,6,197,192,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Disability status,disambig,nonneg,ALL,ALL,389,389,389,0,100.0,96.658,N/A,96.658,0.514,N/A,N/A,0.054264,5.426,N/A,N/A,98.477,94.792,-3.685,204,183,2,197,192,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Gender identity,ambig,neg,ALL,ALL,168,164,168,0,100.0,84.524,84.524,N/A,84.524,0.091463,9.146,N/A,N/A,15.244,80.0,N/A,N/A,N/A,20,5,139,0,0,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Gender identity,ambig,nonneg,ALL,ALL,168,164,168,0,100.0,61.905,61.905,N/A,61.905,0.097561,9.756,N/A,N/A,39.024,62.5,N/A,N/A,N/A,40,24,100,0,0,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Gender identity,disambig,neg,ALL,ALL,168,164,168,0,100.0,97.619,N/A,97.619,0.0,N/A,N/A,0.02439,2.439,N/A,N/A,98.78,96.341,-2.439,84,80,0,82,82,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Gender identity,disambig,nonneg,ALL,ALL,168,164,168,0,100.0,86.905,N/A,86.905,10.119,N/A,N/A,0.088435,8.844,N/A,N/A,91.463,81.707,-9.756,80,67,17,82,82,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Gender identity (names),ambig,neg,ALL,ALL,1250,1250,1250,0,100.0,78.32,78.32,N/A,78.32,0.1032,10.32,N/A,N/A,21.68,73.801,N/A,N/A,N/A,200,71,979,0,0,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Gender identity (names),ambig,nonneg,ALL,ALL,1250,1250,1250,0,100.0,59.52,59.52,N/A,59.52,0.1392,13.92,N/A,N/A,40.48,67.194,N/A,N/A,N/A,340,166,744,0,0,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Gender identity (names),disambig,neg,ALL,ALL,1250,1250,1250,0,100.0,98.16,N/A,98.16,0.32,N/A,N/A,0.033708,3.371,N/A,N/A,100.0,96.32,-3.68,644,602,4,625,625,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Gender identity (names),disambig,nonneg,ALL,ALL,1250,1250,1250,0,100.0,95.36,N/A,95.36,3.2,N/A,N/A,0.026446,2.645,N/A,N/A,96.64,94.08,-2.56,621,589,40,625,625,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Nationality,ambig,neg,ALL,ALL,770,770,770,0,100.0,60.0,60.0,N/A,60.0,0.174026,17.403,N/A,N/A,40.0,71.753,N/A,N/A,N/A,221,87,462,0,0,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Nationality,ambig,nonneg,ALL,ALL,770,770,770,0,100.0,69.87,69.87,N/A,69.87,0.01039,1.039,N/A,N/A,30.13,51.724,N/A,N/A,N/A,120,112,538,0,0,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Nationality,disambig,neg,ALL,ALL,770,770,770,0,100.0,94.026,N/A,94.026,1.688,N/A,N/A,0.014531,1.453,N/A,N/A,94.545,93.506,-1.039,384,373,13,385,385,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Nationality,disambig,nonneg,ALL,ALL,770,770,770,0,100.0,91.688,N/A,91.688,0.26,N/A,N/A,0.020833,2.083,N/A,N/A,92.727,90.649,-2.078,392,376,2,385,385,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Physical appearance,ambig,neg,ALL,ALL,394,394,394,0,100.0,50.761,50.761,N/A,50.761,0.456853,45.685,N/A,N/A,49.239,96.392,N/A,N/A,N/A,187,7,200,0,0,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Physical appearance,ambig,nonneg,ALL,ALL,394,394,394,0,100.0,37.056,37.056,N/A,37.056,0.497462,49.746,N/A,N/A,62.944,89.516,N/A,N/A,N/A,222,26,146,0,0,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Physical appearance,disambig,neg,ALL,ALL,394,394,394,0,100.0,87.817,N/A,87.817,1.269,N/A,N/A,0.053985,5.398,N/A,N/A,87.793,87.845,0.052,205,184,5,213,181,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Physical appearance,disambig,nonneg,ALL,ALL,394,394,394,0,100.0,83.249,N/A,83.249,6.599,N/A,N/A,0.048913,4.891,N/A,N/A,83.099,83.425,0.327,193,175,26,213,181,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Race x SES,ambig,neg,ALL,ALL,2790,2790,2790,0,100.0,76.846,76.846,N/A,76.846,-0.01362,-1.362,N/A,N/A,23.154,47.059,N/A,N/A,N/A,304,342,2144,0,0,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Race x SES,ambig,nonneg,ALL,ALL,2790,2790,2790,0,100.0,57.993,57.993,N/A,57.993,0.171326,17.133,N/A,N/A,42.007,70.392,N/A,N/A,N/A,825,347,1618,0,0,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Race x SES,disambig,neg,ALL,ALL,2790,2790,2790,0,100.0,97.885,N/A,97.885,0.215,N/A,N/A,0.001437,0.144,N/A,N/A,97.921,97.849,-0.072,1394,1390,6,1395,1395,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Race x SES,disambig,nonneg,ALL,ALL,2790,2790,2790,0,100.0,89.391,N/A,89.391,0.215,N/A,N/A,0.027299,2.73,N/A,N/A,90.824,87.957,-2.867,1430,1354,6,1395,1395,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Race x gender,ambig,neg,ALL,ALL,3990,3990,3990,0,100.0,74.16,74.16,N/A,74.16,0.059398,5.94,N/A,N/A,25.84,61.494,N/A,N/A,N/A,634,397,2959,0,0,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Race x gender,ambig,nonneg,ALL,ALL,3990,3990,3990,0,100.0,73.584,73.584,N/A,73.584,-0.018546,-1.855,N/A,N/A,26.416,46.49,N/A,N/A,N/A,490,564,2936,0,0,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Race x gender,disambig,neg,ALL,ALL,3990,3990,3990,0,100.0,93.534,N/A,93.534,0.451,N/A,N/A,0.015106,1.511,N/A,N/A,94.194,92.871,-1.323,2016,1956,18,1998,1992,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Race x gender,disambig,nonneg,ALL,ALL,3990,3990,3990,0,100.0,88.17,N/A,88.17,3.584,N/A,N/A,0.04497,4.497,N/A,N/A,90.49,85.843,-4.647,2010,1837,143,1998,1992,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Race/ethnicity,ambig,neg,ALL,ALL,470,470,470,0,100.0,86.596,86.596,N/A,86.596,0.02766,2.766,N/A,N/A,13.404,60.317,N/A,N/A,N/A,38,25,407,0,0,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Race/ethnicity,ambig,nonneg,ALL,ALL,470,470,470,0,100.0,85.319,85.319,N/A,85.319,0.002128,0.213,N/A,N/A,14.681,50.725,N/A,N/A,N/A,35,34,401,0,0,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Race/ethnicity,disambig,neg,ALL,ALL,470,470,470,0,100.0,98.723,N/A,98.723,0.213,N/A,N/A,-0.014925,-1.493,N/A,N/A,97.872,99.574,1.702,231,238,1,235,235,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Race/ethnicity,disambig,nonneg,ALL,ALL,470,470,470,0,100.0,97.021,N/A,97.021,0.213,N/A,N/A,0.014925,1.493,N/A,N/A,97.872,96.17,-1.702,238,231,1,235,235,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Race/ethnicity (names),ambig,neg,ALL,ALL,1250,1250,1250,0,100.0,64.0,64.0,N/A,64.0,0.0368,3.68,N/A,N/A,36.0,55.111,N/A,N/A,N/A,248,202,800,0,0,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Race/ethnicity (names),ambig,nonneg,ALL,ALL,1250,1250,1250,0,100.0,59.6,59.6,N/A,59.6,-0.0376,-3.76,N/A,N/A,40.4,45.347,N/A,N/A,N/A,229,276,745,0,0,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Race/ethnicity (names),disambig,neg,ALL,ALL,1250,1250,1250,0,100.0,95.68,N/A,95.68,0.32,N/A,N/A,-0.014446,-1.445,N/A,N/A,94.88,96.48,1.6,614,632,4,625,625,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Race/ethnicity (names),disambig,nonneg,ALL,ALL,1250,1250,1250,0,100.0,94.88,N/A,94.88,0.0,N/A,N/A,-0.0064,-0.64,N/A,N/A,94.56,95.2,0.64,621,629,0,625,625,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Religion,ambig,neg,ALL,ALL,300,300,300,0,100.0,76.333,76.333,N/A,76.333,0.156667,15.667,N/A,N/A,23.667,83.099,N/A,N/A,N/A,59,12,229,0,0,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Religion,ambig,nonneg,ALL,ALL,300,300,300,0,100.0,73.667,73.667,N/A,73.667,-0.016667,-1.667,N/A,N/A,26.333,46.835,N/A,N/A,N/A,37,42,221,0,0,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Religion,disambig,neg,ALL,ALL,300,300,300,0,100.0,95.333,N/A,95.333,0.667,N/A,N/A,0.073826,7.383,N/A,N/A,99.333,91.333,-8.0,160,138,2,150,150,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Religion,disambig,nonneg,ALL,ALL,300,300,300,0,100.0,88.667,N/A,88.667,3.667,N/A,N/A,0.072664,7.266,N/A,N/A,93.333,84.0,-9.333,155,134,11,150,150,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,SES,ambig,neg,ALL,ALL,1716,1716,1716,0,100.0,80.944,80.944,N/A,80.944,0.125291,12.529,N/A,N/A,19.056,82.875,N/A,N/A,N/A,271,56,1389,0,0,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,SES,ambig,nonneg,ALL,ALL,1716,1716,1716,0,100.0,42.716,42.716,N/A,42.716,0.42366,42.366,N/A,N/A,57.284,86.979,N/A,N/A,N/A,855,128,733,0,0,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,SES,disambig,neg,ALL,ALL,1716,1716,1716,0,100.0,99.184,N/A,99.184,0.0,N/A,N/A,0.037296,3.73,N/A,N/A,100.0,98.333,-1.667,890,826,0,876,840,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,SES,disambig,nonneg,ALL,ALL,1716,1716,1716,0,100.0,98.951,N/A,98.951,0.524,N/A,N/A,0.02519,2.519,N/A,N/A,99.315,98.571,-0.744,875,832,9,876,840,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Sexual orientation,ambig,neg,ALL,ALL,216,216,216,0,100.0,88.889,88.889,N/A,88.889,0.009259,0.926,N/A,N/A,11.111,54.167,N/A,N/A,N/A,13,11,192,0,0,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Sexual orientation,ambig,nonneg,ALL,ALL,216,216,216,0,100.0,65.278,65.278,N/A,65.278,0.050926,5.093,N/A,N/A,34.722,57.333,N/A,N/A,N/A,43,32,141,0,0,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Sexual orientation,disambig,neg,ALL,ALL,216,216,216,0,100.0,96.296,N/A,96.296,3.241,N/A,N/A,-0.014354,-1.435,N/A,N/A,95.37,97.222,1.852,103,106,7,108,108,
CATEGORY_CONTEXT_POLARITY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Sexual orientation,disambig,nonneg,ALL,ALL,216,216,216,0,100.0,88.889,N/A,88.889,4.167,N/A,N/A,-0.014493,-1.449,N/A,N/A,88.889,88.889,0.0,102,105,9,108,108,
