evaluation_id,model_id,model_name,condition_id,source_type,scoring_status,inference_provenance,category,n,valid_n,invalid_n,coverage_pct,overall_accuracy_pct,ambig_accuracy_pct,disambig_accuracy_pct,sAMB,sDIS,aligned_dis_accuracy_pct,nonaligned_dis_accuracy_pct,alignment_gap_pp
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,SES,6864,6864,0,100.0,91.128,94.435,87.821,0.02535,0.048392,89.441,86.131,-3.31
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Sexual orientation,864,864,0,100.0,91.898,96.759,87.037,0.00463,0.017632,87.5,86.574,-0.926
phi4_mini_3_8b__native,phi4_mini_3_8b,Phi-4 Mini 3.8B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Age,3680,3680,0,100.0,67.418,43.478,91.359,0.346739,0.021277,92.391,90.326,-2.065
phi4_mini_3_8b__native,phi4_mini_3_8b,Phi-4 Mini 3.8B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Disability status,1556,1556,0,100.0,72.237,47.815,96.658,0.33162,0.05974,99.239,94.01,-5.228
phi4_mini_3_8b__native,phi4_mini_3_8b,Phi-4 Mini 3.8B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Gender identity,672,672,0,100.0,82.738,73.214,92.262,0.094512,0.054662,95.122,89.024,-6.098
phi4_mini_3_8b__native,phi4_mini_3_8b,Phi-4 Mini 3.8B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Gender identity (names),5000,5000,0,100.0,82.84,68.92,96.76,0.1212,0.03013,98.32,95.2,-3.12
phi4_mini_3_8b__native,phi4_mini_3_8b,Phi-4 Mini 3.8B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Nationality,3080,3080,0,100.0,78.896,64.935,92.857,0.092208,0.017705,93.636,92.078,-1.558
phi4_mini_3_8b__native,phi4_mini_3_8b,Phi-4 Mini 3.8B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Physical appearance,1576,1576,0,100.0,64.721,43.909,85.533,0.477157,0.051519,85.446,85.635,0.189
phi4_mini_3_8b__native,phi4_mini_3_8b,Phi-4 Mini 3.8B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Race x SES,11160,11160,0,100.0,80.529,67.419,93.638,0.078853,0.014368,94.373,92.903,-1.47
phi4_mini_3_8b__native,phi4_mini_3_8b,Phi-4 Mini 3.8B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Race x gender,15960,15960,0,100.0,82.362,73.872,90.852,0.020426,0.029799,92.342,89.357,-2.985
phi4_mini_3_8b__native,phi4_mini_3_8b,Phi-4 Mini 3.8B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Race/ethnicity,1880,1880,0,100.0,91.915,85.957,97.872,0.014894,0.0,97.872,97.872,0.0
phi4_mini_3_8b__native,phi4_mini_3_8b,Phi-4 Mini 3.8B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Race/ethnicity (names),5000,5000,0,100.0,78.54,61.8,95.28,-0.0004,-0.010417,94.72,95.84,1.12
phi4_mini_3_8b__native,phi4_mini_3_8b,Phi-4 Mini 3.8B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Religion,1200,1200,0,100.0,83.5,75.0,92.0,0.07,0.073254,96.333,87.667,-8.667
phi4_mini_3_8b__native,phi4_mini_3_8b,Phi-4 Mini 3.8B,native,summary_export,VERIFIED_SUMMARY,KNOWN,SES,6864,6864,0,100.0,80.449,61.83,99.068,0.274476,0.031259,99.658,98.452,-1.205
phi4_mini_3_8b__native,phi4_mini_3_8b,Phi-4 Mini 3.8B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Sexual orientation,864,864,0,100.0,84.838,77.083,92.593,0.030093,-0.014423,92.13,93.056,0.926
ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Age,3680,3680,0,100.0,51.793,12.989,90.598,0.461413,0.038829,92.935,88.261,-4.674
ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Disability status,1556,1556,0,100.0,48.843,11.44,86.247,0.294344,0.054161,88.325,84.115,-4.21
ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Gender identity,672,672,0,100.0,54.315,25.298,83.333,0.295732,-0.023256,81.707,84.146,2.439
ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Gender identity (names),5000,5000,0,100.0,60.56,32.4,88.72,0.1656,0.02382,89.76,87.68,-2.08
ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Nationality,3080,3080,0,100.0,58.766,22.922,94.61,0.156494,0.035924,96.623,92.597,-4.026
ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Physical appearance,1576,1576,0,100.0,49.365,17.005,81.726,0.492386,0.044059,80.516,83.149,2.633
ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Race x SES,11160,11160,0,100.0,59.086,20.036,98.136,0.04552,0.003243,98.387,97.885,-0.502
ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Race x gender,15960,15960,0,100.0,51.31,11.19,91.429,0.00614,0.014644,92.317,90.537,-1.78
ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Race/ethnicity,1880,1880,0,100.0,65.638,33.617,97.66,0.129787,0.010776,98.511,96.809,-1.702
ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Race/ethnicity (names),5000,5000,0,100.0,58.08,20.0,96.16,0.0624,0.000401,96.24,96.08,-0.16
ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Religion,1200,1200,0,100.0,56.083,25.833,86.333,0.151667,0.038194,88.667,84.0,-4.667
ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,SES,6864,6864,0,100.0,54.385,15.181,93.59,0.3581,0.029715,94.349,92.798,-1.552
ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Sexual orientation,864,864,0,100.0,58.796,28.935,88.657,0.090278,0.029126,90.278,87.037,-3.241
qwen3_4b__no_think_q6_k,qwen3_4b,Qwen3 4B Instruct,no_think_q6_k,raw_predictions,RESCORED,KNOWN,Age,3680,3678,2,99.945652,75.788043,63.586957,87.98913,0.267682,0.056229,91.304348,84.673913,-6.630435
qwen3_4b__no_think_q6_k,qwen3_4b,Qwen3 4B Instruct,no_think_q6_k,raw_predictions,RESCORED,KNOWN,Disability status,1556,1556,0,100.0,77.18509,62.210797,92.159383,0.246787,0.007874,91.370558,92.96875,1.598192
qwen3_4b__no_think_q6_k,qwen3_4b,Qwen3 4B Instruct,no_think_q6_k,raw_predictions,RESCORED,KNOWN,Gender identity,672,672,0,100.0,83.630952,89.583333,77.678571,-0.009146,-0.057554,74.390244,79.878049,5.487805
qwen3_4b__no_think_q6_k,qwen3_4b,Qwen3 4B Instruct,no_think_q6_k,raw_predictions,RESCORED,KNOWN,Gender identity (names),5000,5000,0,100.0,92.08,92.52,91.64,0.0332,0.024101,92.96,90.32,-2.64
qwen3_4b__no_think_q6_k,qwen3_4b,Qwen3 4B Instruct,no_think_q6_k,raw_predictions,RESCORED,KNOWN,Nationality,3080,3080,0,100.0,86.785714,83.051948,90.519481,0.022727,0.034483,92.987013,88.051948,-4.935065
qwen3_4b__no_think_q6_k,qwen3_4b,Qwen3 4B Instruct,no_think_q6_k,raw_predictions,RESCORED,KNOWN,Physical appearance,1576,1576,0,100.0,73.604061,69.923858,77.284264,0.206853,0.040788,76.29108,78.453039,2.161959
qwen3_4b__no_think_q6_k,qwen3_4b,Qwen3 4B Instruct,no_think_q6_k,raw_predictions,RESCORED,KNOWN,Race x SES,11160,11152,8,99.928315,92.204301,88.566308,95.842294,0.016311,0.004247,96.300287,95.625672,-0.674615
qwen3_4b__no_think_q6_k,qwen3_4b,Qwen3 4B Instruct,no_think_q6_k,raw_predictions,RESCORED,KNOWN,Race x gender,15960,15955,5,99.968672,95.401003,98.220551,92.581454,-0.000251,0.019628,93.764087,91.511803,-2.252284
qwen3_4b__no_think_q6_k,qwen3_4b,Qwen3 4B Instruct,no_think_q6_k,raw_predictions,RESCORED,KNOWN,Race/ethnicity,1880,1873,7,99.62766,89.734043,88.404255,91.06383,0.028723,0.005587,92.077088,91.416309,-0.660779
qwen3_4b__no_think_q6_k,qwen3_4b,Qwen3 4B Instruct,no_think_q6_k,raw_predictions,RESCORED,KNOWN,Race/ethnicity (names),5000,4976,24,99.52,92.02,90.72,93.32,0.0008,0.004647,94.331984,94.117647,-0.214337
qwen3_4b__no_think_q6_k,qwen3_4b,Qwen3 4B Instruct,no_think_q6_k,raw_predictions,RESCORED,KNOWN,Religion,1200,1199,1,99.916667,81.166667,83.666667,78.666667,0.063333,0.076923,83.0,74.58194,-8.41806
qwen3_4b__no_think_q6_k,qwen3_4b,Qwen3 4B Instruct,no_think_q6_k,raw_predictions,RESCORED,KNOWN,SES,6864,6863,1,99.985431,89.641608,84.061772,95.221445,0.147727,0.061794,97.716895,92.674211,-5.042684
qwen3_4b__no_think_q6_k,qwen3_4b,Qwen3 4B Instruct,no_think_q6_k,raw_predictions,RESCORED,KNOWN,Sexual orientation,864,863,1,99.884259,88.541667,86.805556,90.277778,0.039352,-0.004902,89.814815,91.162791,1.347976
gpt_5_5__high,gpt_5_5,GPT 5.5,high,raw_answers,RESCORED,PARTIAL,Age,3680,3680,0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0
gpt_5_5__high,gpt_5_5,GPT 5.5,high,raw_answers,RESCORED,PARTIAL,Disability status,1556,1556,0,100.0,100.0,100.0,100.0,0.0,0.012853,100.0,100.0,0.0
gpt_5_5__high,gpt_5_5,GPT 5.5,high,raw_answers,RESCORED,PARTIAL,Gender identity,672,672,0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0
gpt_5_5__high,gpt_5_5,GPT 5.5,high,raw_answers,RESCORED,PARTIAL,Gender identity (names),5000,5000,0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0
gpt_5_5__high,gpt_5_5,GPT 5.5,high,raw_answers,RESCORED,PARTIAL,Nationality,3080,3080,0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0
gpt_5_5__high,gpt_5_5,GPT 5.5,high,raw_answers,RESCORED,PARTIAL,Physical appearance,1576,1576,0,100.0,100.0,100.0,100.0,0.0,0.081218,100.0,100.0,0.0
gpt_5_5__high,gpt_5_5,GPT 5.5,high,raw_answers,RESCORED,PARTIAL,Race x SES,11160,11160,0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0
gpt_5_5__high,gpt_5_5,GPT 5.5,high,raw_answers,RESCORED,PARTIAL,Race x gender,15960,15960,0,100.0,100.0,100.0,100.0,0.0,0.001504,100.0,100.0,0.0
gpt_5_5__high,gpt_5_5,GPT 5.5,high,raw_answers,RESCORED,PARTIAL,Race/ethnicity,1880,1880,0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0
gpt_5_5__high,gpt_5_5,GPT 5.5,high,raw_answers,RESCORED,PARTIAL,Race/ethnicity (names),5000,5000,0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0
gpt_5_5__high,gpt_5_5,GPT 5.5,high,raw_answers,RESCORED,PARTIAL,Religion,1200,1200,0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0
gpt_5_5__high,gpt_5_5,GPT 5.5,high,raw_answers,RESCORED,PARTIAL,SES,6864,6864,0,100.0,100.0,100.0,100.0,0.0,0.020979,100.0,100.0,0.0
gpt_5_5__high,gpt_5_5,GPT 5.5,high,raw_answers,RESCORED,PARTIAL,Sexual orientation,864,864,0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0
gpt_5_5__medium,gpt_5_5,GPT 5.5,medium,raw_answers,RESCORED,PARTIAL,Age,3680,3680,0,100.0,72.146739,93.804348,50.48913,0.0,0.001121,50.326087,50.652174,0.326087
gpt_5_5__medium,gpt_5_5,GPT 5.5,medium,raw_answers,RESCORED,PARTIAL,Disability status,1556,1556,0,100.0,71.915167,93.830334,50.0,0.0,-0.002674,49.238579,50.78125,1.542671
gpt_5_5__medium,gpt_5_5,GPT 5.5,medium,raw_answers,RESCORED,PARTIAL,Gender identity,672,672,0,100.0,68.89881,88.690476,49.107143,0.0,0.0,48.780488,49.390244,0.609756
gpt_5_5__medium,gpt_5_5,GPT 5.5,medium,raw_answers,RESCORED,PARTIAL,Gender identity (names),5000,5000,0,100.0,71.14,94.24,48.04,0.0,-0.000831,47.84,48.24,0.4
gpt_5_5__medium,gpt_5_5,GPT 5.5,medium,raw_answers,RESCORED,PARTIAL,Nationality,3080,3080,0,100.0,68.733766,92.727273,44.74026,0.0,-0.006649,44.415584,45.064935,0.649351
gpt_5_5__medium,gpt_5_5,GPT 5.5,medium,raw_answers,RESCORED,PARTIAL,Physical appearance,1576,1576,0,100.0,69.860406,91.370558,48.350254,0.0,0.0,48.122066,48.618785,0.496719
gpt_5_5__medium,gpt_5_5,GPT 5.5,medium,raw_answers,RESCORED,PARTIAL,Race x SES,11160,11160,0,100.0,77.213262,92.97491,61.451613,0.0,0.056343,64.014337,58.888889,-5.125448
gpt_5_5__medium,gpt_5_5,GPT 5.5,medium,raw_answers,RESCORED,PARTIAL,Race x gender,15960,15960,0,100.0,69.29198,93.483709,45.100251,0.0,0.000777,44.91992,45.281124,0.361205
gpt_5_5__medium,gpt_5_5,GPT 5.5,medium,raw_answers,RESCORED,PARTIAL,Race/ethnicity,1880,1880,0,100.0,70.106383,92.978723,47.234043,0.0,-0.002179,47.659574,46.808511,-0.851064
gpt_5_5__medium,gpt_5_5,GPT 5.5,medium,raw_answers,RESCORED,PARTIAL,Race/ethnicity (names),5000,5000,0,100.0,69.92,93.2,46.64,0.0,-0.002486,46.8,46.48,-0.32
gpt_5_5__medium,gpt_5_5,GPT 5.5,medium,raw_answers,RESCORED,PARTIAL,Religion,1200,1200,0,100.0,70.75,92.666667,48.833333,0.0,0.0,48.666667,49.0,0.333333
gpt_5_5__medium,gpt_5_5,GPT 5.5,medium,raw_answers,RESCORED,PARTIAL,SES,6864,6864,0,100.0,74.839744,92.599068,57.08042,0.0,-0.001208,56.73516,57.440476,0.705316
gpt_5_5__medium,gpt_5_5,GPT 5.5,medium,raw_answers,RESCORED,PARTIAL,Sexual orientation,864,864,0,100.0,69.907407,93.981481,45.833333,0.0,0.004785,46.296296,45.37037,-0.925926
gpt_5_5__light,gpt_5_5,GPT 5.5,light,raw_answers,RESCORED,PARTIAL,Age,3680,3680,0,100.0,50.706522,71.521739,29.891304,0.0,0.009973,29.782609,30.0,0.217391
gpt_5_5__light,gpt_5_5,GPT 5.5,light,raw_answers,RESCORED,PARTIAL,Disability status,1556,1556,0,100.0,61.311054,77.892031,44.730077,0.0,0.02446,47.969543,41.40625,-6.563293
gpt_5_5__light,gpt_5_5,GPT 5.5,light,raw_answers,RESCORED,PARTIAL,Gender identity,672,672,0,100.0,50.446429,76.785714,24.107143,0.0,-0.02439,23.780488,25.0,1.219512
gpt_5_5__light,gpt_5_5,GPT 5.5,light,raw_answers,RESCORED,PARTIAL,Gender identity (names),5000,5000,0,100.0,47.3,77.52,17.08,0.0,-0.004405,17.12,17.04,-0.08
gpt_5_5__light,gpt_5_5,GPT 5.5,light,raw_answers,RESCORED,PARTIAL,Nationality,3080,3080,0,100.0,63.376623,80.38961,46.363636,0.0,-0.003472,45.584416,47.142857,1.558442
gpt_5_5__light,gpt_5_5,GPT 5.5,light,raw_answers,RESCORED,PARTIAL,Physical appearance,1576,1576,0,100.0,55.329949,70.304569,40.35533,0.0,0.0,41.784038,38.674033,-3.110004
gpt_5_5__light,gpt_5_5,GPT 5.5,light,raw_answers,RESCORED,PARTIAL,Race x SES,11160,11160,0,100.0,58.817204,77.060932,40.573477,0.0,0.011748,40.860215,40.286738,-0.573477
gpt_5_5__light,gpt_5_5,GPT 5.5,light,raw_answers,RESCORED,PARTIAL,Race x gender,15960,15960,0,100.0,58.477444,80.350877,36.60401,-0.000501,-0.008298,36.211211,36.997992,0.786781
gpt_5_5__light,gpt_5_5,GPT 5.5,light,raw_answers,RESCORED,PARTIAL,Race/ethnicity,1880,1880,0,100.0,61.117021,76.808511,45.425532,0.0,-0.004231,45.319149,45.531915,0.212766
gpt_5_5__light,gpt_5_5,GPT 5.5,light,raw_answers,RESCORED,PARTIAL,Race/ethnicity (names),5000,5000,0,100.0,57.82,82.4,33.24,0.0,0.0,33.52,32.96,-0.56
gpt_5_5__light,gpt_5_5,GPT 5.5,light,raw_answers,RESCORED,PARTIAL,Religion,1200,1200,0,100.0,59.0,80.0,38.0,0.0,0.010695,37.666667,38.333333,0.666667
gpt_5_5__light,gpt_5_5,GPT 5.5,light,raw_answers,RESCORED,PARTIAL,SES,6864,6864,0,100.0,54.662005,75.174825,34.149184,0.0,0.010309,34.589041,33.690476,-0.898565
gpt_5_5__light,gpt_5_5,GPT 5.5,light,raw_answers,RESCORED,PARTIAL,Sexual orientation,864,864,0,100.0,50.925926,71.296296,30.555556,0.0,0.0,29.166667,31.944444,2.777778
gpt_5_6_luna__high,gpt_5_6_luna,GPT 5.6 Luna,high,raw_answers,RESCORED,PARTIAL,Age,3680,3680,0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0
gpt_5_6_luna__high,gpt_5_6_luna,GPT 5.6 Luna,high,raw_answers,RESCORED,PARTIAL,Disability status,1556,1556,0,100.0,100.0,100.0,100.0,0.0,0.012853,100.0,100.0,0.0
gpt_5_6_luna__high,gpt_5_6_luna,GPT 5.6 Luna,high,raw_answers,RESCORED,PARTIAL,Gender identity,672,672,0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0
gpt_5_6_luna__high,gpt_5_6_luna,GPT 5.6 Luna,high,raw_answers,RESCORED,PARTIAL,Gender identity (names),5000,5000,0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0
gpt_5_6_luna__high,gpt_5_6_luna,GPT 5.6 Luna,high,raw_answers,RESCORED,PARTIAL,Nationality,3080,3080,0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0
gpt_5_6_luna__high,gpt_5_6_luna,GPT 5.6 Luna,high,raw_answers,RESCORED,PARTIAL,Physical appearance,1576,1576,0,100.0,100.0,100.0,100.0,0.0,0.081218,100.0,100.0,0.0
gpt_5_6_luna__high,gpt_5_6_luna,GPT 5.6 Luna,high,raw_answers,RESCORED,PARTIAL,Race x SES,11160,11160,0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0
gpt_5_6_luna__high,gpt_5_6_luna,GPT 5.6 Luna,high,raw_answers,RESCORED,PARTIAL,Race x gender,15960,15960,0,100.0,100.0,100.0,100.0,0.0,0.001504,100.0,100.0,0.0
gpt_5_6_luna__high,gpt_5_6_luna,GPT 5.6 Luna,high,raw_answers,RESCORED,PARTIAL,Race/ethnicity,1880,1880,0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0
gpt_5_6_luna__high,gpt_5_6_luna,GPT 5.6 Luna,high,raw_answers,RESCORED,PARTIAL,Race/ethnicity (names),5000,5000,0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0
gpt_5_6_luna__high,gpt_5_6_luna,GPT 5.6 Luna,high,raw_answers,RESCORED,PARTIAL,Religion,1200,1200,0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0
gpt_5_6_luna__high,gpt_5_6_luna,GPT 5.6 Luna,high,raw_answers,RESCORED,PARTIAL,SES,6864,6864,0,100.0,100.0,100.0,100.0,0.0,0.020979,100.0,100.0,0.0
gpt_5_6_luna__high,gpt_5_6_luna,GPT 5.6 Luna,high,raw_answers,RESCORED,PARTIAL,Sexual orientation,864,864,0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0
gpt_5_6_luna__medium,gpt_5_6_luna,GPT 5.6 Luna,medium,raw_answers,RESCORED,PARTIAL,Age,3680,3680,0,100.0,56.494565,85.326087,27.663043,0.002174,-0.002967,27.608696,27.717391,0.108696
gpt_5_6_luna__medium,gpt_5_6_luna,GPT 5.6 Luna,medium,raw_answers,RESCORED,PARTIAL,Disability status,1556,1556,0,100.0,59.640103,89.717224,29.562982,0.0,0.074419,31.979695,27.083333,-4.896362
gpt_5_6_luna__medium,gpt_5_6_luna,GPT 5.6 Luna,medium,raw_answers,RESCORED,PARTIAL,Gender identity,672,672,0,100.0,62.64881,92.261905,33.035714,0.0,0.015748,33.536585,31.707317,-1.829268
gpt_5_6_luna__medium,gpt_5_6_luna,GPT 5.6 Luna,medium,raw_answers,RESCORED,PARTIAL,Gender identity (names),5000,5000,0,100.0,55.0,87.0,23.0,-0.0036,0.007752,23.36,22.64,-0.72
gpt_5_6_luna__medium,gpt_5_6_luna,GPT 5.6 Luna,medium,raw_answers,RESCORED,PARTIAL,Nationality,3080,3080,0,100.0,57.012987,74.220779,39.805195,-0.000649,0.021933,40.519481,39.090909,-1.428571
gpt_5_6_luna__medium,gpt_5_6_luna,GPT 5.6 Luna,medium,raw_answers,RESCORED,PARTIAL,Physical appearance,1576,1576,0,100.0,52.791878,70.558376,35.025381,0.0,-0.005386,35.915493,33.977901,-1.937592
gpt_5_6_luna__medium,gpt_5_6_luna,GPT 5.6 Luna,medium,raw_answers,RESCORED,PARTIAL,Race x SES,11160,11160,0,100.0,61.801075,91.935484,31.666667,0.0,-0.008524,31.218638,32.114695,0.896057
gpt_5_6_luna__medium,gpt_5_6_luna,GPT 5.6 Luna,medium,raw_answers,RESCORED,PARTIAL,Race x gender,15960,15960,0,100.0,65.733083,89.761905,41.704261,0.001378,0.007663,41.991992,41.415663,-0.576329
gpt_5_6_luna__medium,gpt_5_6_luna,GPT 5.6 Luna,medium,raw_answers,RESCORED,PARTIAL,Race/ethnicity,1880,1880,0,100.0,56.06383,82.021277,30.106383,-0.005319,0.006969,29.787234,30.425532,0.638298
gpt_5_6_luna__medium,gpt_5_6_luna,GPT 5.6 Luna,medium,raw_answers,RESCORED,PARTIAL,Race/ethnicity (names),5000,5000,0,100.0,54.64,77.12,32.16,0.0024,-0.000603,31.76,32.56,0.8
gpt_5_6_luna__medium,gpt_5_6_luna,GPT 5.6 Luna,medium,raw_answers,RESCORED,PARTIAL,Religion,1200,1200,0,100.0,59.416667,82.666667,36.166667,-0.016667,-0.021898,35.666667,36.666667,1.0
gpt_5_6_luna__medium,gpt_5_6_luna,GPT 5.6 Luna,medium,raw_answers,RESCORED,PARTIAL,SES,6864,6864,0,100.0,57.342657,91.200466,23.484848,0.0,0.021277,24.657534,22.261905,-2.395629
gpt_5_6_luna__medium,gpt_5_6_luna,GPT 5.6 Luna,medium,raw_answers,RESCORED,PARTIAL,Sexual orientation,864,864,0,100.0,63.888889,92.12963,35.648148,-0.009259,0.044983,37.5,33.796296,-3.703704
gpt_5_6_luna__light,gpt_5_6_luna,GPT 5.6 Luna,light,raw_answers,RESCORED,PARTIAL,Age,3680,3680,0,100.0,45.353261,81.413043,9.293478,0.0,0.0,10.0,8.586957,-1.413043
gpt_5_6_luna__light,gpt_5_6_luna,GPT 5.6 Luna,light,raw_answers,RESCORED,PARTIAL,Disability status,1556,1556,0,100.0,44.858612,79.434447,10.282776,0.0,0.0,9.898477,10.677083,0.778606
gpt_5_6_luna__light,gpt_5_6_luna,GPT 5.6 Luna,light,raw_answers,RESCORED,PARTIAL,Gender identity,672,672,0,100.0,43.75,75.0,12.5,0.0,0.0,10.97561,14.02439,3.04878
gpt_5_6_luna__light,gpt_5_6_luna,GPT 5.6 Luna,light,raw_answers,RESCORED,PARTIAL,Gender identity (names),5000,5000,0,100.0,45.12,80.48,9.76,0.0,0.0,9.6,9.92,0.32
gpt_5_6_luna__light,gpt_5_6_luna,GPT 5.6 Luna,light,raw_answers,RESCORED,PARTIAL,Nationality,3080,3080,0,100.0,44.87013,79.480519,10.25974,0.0,0.0,9.350649,11.168831,1.818182
gpt_5_6_luna__light,gpt_5_6_luna,GPT 5.6 Luna,light,raw_answers,RESCORED,PARTIAL,Physical appearance,1576,1576,0,100.0,44.670051,78.680203,10.659898,0.0,0.0,10.798122,10.497238,-0.300884
