evaluation_id,model_id,model_name,condition_id,verification_status,category,category_schema,n,valid_n,coverage_pct,overall_accuracy_pct,ambig_accuracy_pct,disambig_accuracy_pct,sAMB,sDIS,dis_alignment_gap_pp,notes
phi4_mini_3_8b__native,phi4_mini_3_8b,Phi-4 Mini 3.8B,native,VERIFIED_FULL,Race/ethnicity (names),canonical_local_13,5000,5000,100.0,78.54,61.8,95.28,-0.0004,-0.010417,1.12,
phi4_mini_3_8b__native,phi4_mini_3_8b,Phi-4 Mini 3.8B,native,VERIFIED_FULL,Religion,canonical_local_13,1200,1200,100.0,83.5,75.0,92.0,0.07,0.073254,-8.667,
phi4_mini_3_8b__native,phi4_mini_3_8b,Phi-4 Mini 3.8B,native,VERIFIED_FULL,SES,canonical_local_13,6864,6864,100.0,80.449,61.83,99.068,0.274476,0.031259,-1.205,
phi4_mini_3_8b__native,phi4_mini_3_8b,Phi-4 Mini 3.8B,native,VERIFIED_FULL,Sexual orientation,canonical_local_13,864,864,100.0,84.838,77.083,92.593,0.030093,-0.014423,0.926,
ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Age,canonical_local_13,3680,3680,100.0,51.793,12.989,90.598,0.461413,0.038829,-4.674,
ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Disability status,canonical_local_13,1556,1556,100.0,48.843,11.44,86.247,0.294344,0.054161,-4.21,
ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Gender identity,canonical_local_13,672,672,100.0,54.315,25.298,83.333,0.295732,-0.023256,2.439,
ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Gender identity (names),canonical_local_13,5000,5000,100.0,60.56,32.4,88.72,0.1656,0.02382,-2.08,
ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Nationality,canonical_local_13,3080,3080,100.0,58.766,22.922,94.61,0.156494,0.035924,-4.026,
ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Physical appearance,canonical_local_13,1576,1576,100.0,49.365,17.005,81.726,0.492386,0.044059,2.633,
ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Race x SES,canonical_local_13,11160,11160,100.0,59.086,20.036,98.136,0.04552,0.003243,-0.502,
ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Race x gender,canonical_local_13,15960,15960,100.0,51.31,11.19,91.429,0.00614,0.014644,-1.78,
ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Race/ethnicity,canonical_local_13,1880,1880,100.0,65.638,33.617,97.66,0.129787,0.010776,-1.702,
ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Race/ethnicity (names),canonical_local_13,5000,5000,100.0,58.08,20.0,96.16,0.0624,0.000401,-0.16,
ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Religion,canonical_local_13,1200,1200,100.0,56.083,25.833,86.333,0.151667,0.038194,-4.667,
ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,SES,canonical_local_13,6864,6864,100.0,54.385,15.181,93.59,0.3581,0.029715,-1.552,
ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Sexual orientation,canonical_local_13,864,864,100.0,58.796,28.935,88.657,0.090278,0.029126,-3.241,
