"BÃ i test thá»­ nghiá»‡m trÃªn 2 model GPT 5.6 Luna vÃ  GPT 5.5 vá»›i ba cháº¿ Ä‘á»™ suy luáº­",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Model,Group,Total Questions,Scorable Questions,Valid Answers,Invalid/Missing,Coverage (%),Accuracy (%),Ambig Accuracy (%),Disambig Accuracy (%),Ambig Bias Score,Disambig Bias Score
GPT 5.5 nhá,Race_ethnicity,1880,1880,1880,0,100,61.11702128,76.80851064,45.42553191,1.914893617,13.96332863
GPT 5.5 nhá,Race_ethnicity (names),5000,5000,5000,0,100,57.82,82.4,33.24,0.64,-0.299850075
GPT 5.5 nhá,Race_x_SES,3360,3360,3360,0,100,61.66666667,77.5,45.83333333,0.357142857,-0.506879073
GPT 5.5 nhá,Race_x_SES (names),7800,7800,7800,0,100,57.58974359,76.87179487,38.30769231,-3.641025641,-4.802867384
GPT 5.5 nhá,Race_x_gender,4560,4560,4560,0,100,60.74561404,80.1754386,41.31578947,1.929824561,0.656455142
GPT 5.5 nhá,Race_x_gender (names),11400,11400,11400,0,100,57.57017544,80.42105263,34.71929825,-1.614035088,-0.318861908
GPT 5.5 nhá,Religion,1200,1200,1200,0,100,59,80,38,-3.333333333,-4.278074866
GPT 5.5 nhá,SES,6864,6864,6864,0,100,54.66200466,75.17482517,34.14918415,7.575757576,47.42268041
GPT 5.5 nhá,Sexual_orientation,864,864,864,0,100,50.92592593,71.2962963,30.55555556,3.703703704,-0.694444444
GPT 5.6 LunaWork vá»,Age,3680,3680,3680,0,100,56.49456522,85.32608696,27.66304348,0.217391304,1.038575668
GPT 5.6 LunaWork vá»,Disability_status,1556,1556,1556,0,100,59.64010283,89.71722365,29.56298201,-0.514138817,-46.97674419
GPT 5.6 LunaWork vá»,Gender_identity,672,656,672,0,100,62.34756098,92.07317073,32.62195122,1.219512195,-3.149606299
GPT 5.6 LunaWork vá»,Gender_identity (names),5000,5000,5000,0,100,55,87,23,1.4,0.258397933
GPT 5.6 LunaWork vá»,Nationality,3080,3080,3080,0,100,57.01298701,74.22077922,39.80519481,0.584415584,-1.218521527
GPT 5.6 LunaWork vá»,Physical_appearance,1576,1576,1576,0,100,52.79187817,70.55837563,35.02538071,0.507614213,-4.129263914
GPT 5.6 LunaWork vá»,Race_ethnicity,1880,1880,1880,0,100,56.06382979,82.0212766,30.10638298,-0.319148936,-1.045296167
GPT 5.6 LunaWork vá»,Race_ethnicity (names),5000,5000,5000,0,100,54.64,77.12,32.16,0.16,-0.060277275
GPT 5.6 LunaWork vá»,Race_x_SES,3360,3360,3360,0,100,56.99404762,87.02380952,26.96428571,-0.595238095,1.848428835
GPT 5.6 LunaWork vá»,Race_x_SES (names),7800,7800,7800,0,100,63.87179487,94.05128205,33.69230769,0.205128205,3.170254403
GPT 5.6 LunaWork vá»,Race_x_gender,4560,4560,4560,0,100,67.34649123,90.35087719,44.34210526,0.789473684,-0.720906282
GPT 5.6 LunaWork vá»,Race_x_gender (names),11400,11400,11400,0,100,65.0877193,89.52631579,40.64912281,0.964912281,0.275832803
GPT 5.6 LunaWork vá»,Religion,1200,1200,1200,0,100,59.41666667,82.66666667,36.16666667,-3,-3.649635036
GPT 5.6 LunaWork vá»,SES,6864,6864,6864,0,100,57.34265734,91.2004662,23.48484848,-0.524475524,-3.301540719
GPT 5.6 LunaWork vá»,Sexual_orientation,864,864,864,0,100,63.88888889,92.12962963,35.64814815,0.462962963,1.038062284
GPT 5.6 LunaWork nhá,Age,3680,3680,3680,0,100,45.35326087,81.41304348,9.293478261,-0.760869565,-4.093567251
GPT 5.6 LunaWork nhá,Disability_status,1556,1556,1556,0,100,44.85861183,79.4344473,10.28277635,1.542416452,7.5
GPT 5.6 LunaWork nhá,Gender_identity,672,656,672,0,100,43.75,75,12.5,-0.609756098,-2.43902439
GPT 5.6 LunaWork nhá,Gender_identity (names),5000,5000,5000,0,100,45.12,80.48,9.76,-0.64,-3.278688525
GPT 5.6 LunaWork nhá,Nationality,3080,3080,3080,0,100,44.87012987,79.48051948,10.25974026,1.038961039,5.063291139
GPT 5.6 LunaWork nhá,Physical_appearance,1576,1576,1576,0,100,44.67005076,78.68020305,10.65989848,-3.045685279,-14.28571429
GPT 5.6 LunaWork nhá,Race_ethnicity,1880,1880,1880,0,100,43.77659574,75.10638298,12.44680851,-1.063829787,-4.273504274
GPT 5.6 LunaWork nhá,Race_ethnicity (names),5000,5000,5000,0,100,45.24,80.96,9.52,0.16,0.840336134
GPT 5.6 LunaWork nhá,Race_x_SES,3360,3360,3360,0,100,45.0297619,80.11904762,9.94047619,2.023809524,10.17964072
GPT 5.6 LunaWork nhá,Race_x_SES (names),7800,7800,7800,0,100,44.51282051,78.05128205,10.97435897,0,0
GPT 5.6 LunaWork nhá,Race_x_gender,4560,4560,4560,0,100,44.84649123,79.38596491,10.30701754,-2.368421053,-11.4893617
GPT 5.6 LunaWork nhá,Race_x_gender (names),11400,11400,11400,0,100,45.21052632,80.84210526,9.578947368,0.210526316,1.098901099
GPT 5.6 LunaWork nhá,Religion,1200,1200,1200,0,100,45.33333333,81.33333333,9.333333333,1.333333333,7.142857143
GPT 5.6 LunaWork nhá,SES,6864,6864,6864,0,100,44.82808858,79.31235431,10.34382284,-0.174825175,-0.845070423
GPT 5.6 LunaWork nhá,Sexual_orientation,864,864,864,0,100,43.75,75,12.5,2.777777778,11.11111111
