result_level,evaluation_id,model_id,model_name,condition_id,verification_status,category,context,polarity,n,valid_n,accuracy_pct,ambig_accuracy_pct,disambig_accuracy_pct,bias_type,bias_score,alignment_gap_pp,notes
OVERALL,gpt_5_5__reasoning_high,gpt_5_5,GPT 5.5,reasoning_high,REPORTED_AGGREGATE,ALL,ALL,ALL,58492,58492,100.0,100.0,100.0,N/A,,,Accuracy reconstructed from supplied category aggregates. Overall bias/alignment left N/A pending raw/scorer audit.
OVERALL,gpt_5_5__reasoning_low,gpt_5_5,GPT 5.5,reasoning_low,REPORTED_AGGREGATE,ALL,ALL,ALL,58492,58492,56.73613068719962,77.8641398525207,35.60812151982767,N/A,,,Accuracy reconstructed from supplied category aggregates. Overall bias/alignment left N/A pending raw/scorer audit.
OVERALL,gpt_5_5__reasoning_medium,gpt_5_5,GPT 5.5,reasoning_medium,REPORTED_AGGREGATE,ALL,ALL,ALL,58492,58492,71.9602680713643,93.17196598049716,50.74857016034329,N/A,,,Accuracy reconstructed from supplied category aggregates. Overall bias/alignment left N/A pending raw/scorer audit.
CATEGORY_REPORTED,gpt_5_5__reasoning_high,gpt_5_5,GPT 5.5,reasoning_high,REPORTED_AGGREGATE,Age,ALL,ALL,3680,3680,100.0,100.0,100.0,sAMB / sDIS,None / 0.0,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_medium,gpt_5_5,GPT 5.5,reasoning_medium,REPORTED_AGGREGATE,Physical_appearance,ALL,ALL,1576,1576,69.86040609,91.37055838,48.35025381,sAMB / sDIS,-0.01015228426 / -0.1181102362,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_medium,gpt_5_5,GPT 5.5,reasoning_medium,REPORTED_AGGREGATE,Race_ethnicity,ALL,ALL,1880,1880,70.10638298,92.9787234,47.23404255,sAMB / sDIS,0.01063829787 / 0.02178649237,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_medium,gpt_5_5,GPT 5.5,reasoning_medium,REPORTED_AGGREGATE,Race_ethnicity (names),ALL,ALL,5000,5000,69.92,93.2,46.64,sAMB / sDIS,-0.0088 / -0.028169014080000002,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_medium,gpt_5_5,GPT 5.5,reasoning_medium,REPORTED_AGGREGATE,Race_x_SES,ALL,ALL,3360,3360,79.375,91.07142857,67.67857143,sAMB / sDIS,0.0011904761899999999 / -0.04104477612,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_medium,gpt_5_5,GPT 5.5,reasoning_medium,REPORTED_AGGREGATE,Race_x_SES (names),ALL,ALL,7800,7800,76.28205128,93.79487179,58.76923077,sAMB / sDIS,0.00871794872 / 0.0447761194,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_medium,gpt_5_5,GPT 5.5,reasoning_medium,REPORTED_AGGREGATE,Race_x_gender,ALL,ALL,4560,4560,68.31140351,93.59649123,43.02631579,sAMB / sDIS,0.00964912281 / -0.01356238698,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_medium,gpt_5_5,GPT 5.5,reasoning_medium,REPORTED_AGGREGATE,Race_x_gender (names),ALL,ALL,11400,11400,69.68421053,93.43859649,45.92982456,sAMB / sDIS,-0.00526315789 / -0.01016702977,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_medium,gpt_5_5,GPT 5.5,reasoning_medium,REPORTED_AGGREGATE,Religion,ALL,ALL,1200,1200,70.75,92.66666667,48.83333333,sAMB / sDIS,-0.02 / -0.03754266212,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_medium,gpt_5_5,GPT 5.5,reasoning_medium,REPORTED_AGGREGATE,SES,ALL,ALL,6864,6864,74.83974359,92.5990676,57.08041958,sAMB / sDIS,0.01223776224 / 0.01148036254,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_medium,gpt_5_5,GPT 5.5,reasoning_medium,REPORTED_AGGREGATE,Sexual_orientation,ALL,ALL,864,864,69.90740741,93.98148148,45.83333333,sAMB / sDIS,0.023148148150000002 / -0.019138755979999998,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_low,gpt_5_5,GPT 5.5,reasoning_low,REPORTED_AGGREGATE,Age,ALL,ALL,3680,3680,50.70652174,71.52173913,29.89130435,sAMB / sDIS,-0.07608695652 / -0.06980961015,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_low,gpt_5_5,GPT 5.5,reasoning_low,REPORTED_AGGREGATE,Disability_status,ALL,ALL,1556,1556,61.31105398,77.89203085,44.73007712,sAMB / sDIS,0.01028277635 / 0.08776978417,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_low,gpt_5_5,GPT 5.5,reasoning_low,REPORTED_AGGREGATE,Gender_identity,ALL,ALL,672,672,50.6097561,76.82926829,24.3902439,sAMB / sDIS,0.01219512195 / 0.2073170732,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_low,gpt_5_5,GPT 5.5,reasoning_low,REPORTED_AGGREGATE,Gender_identity (names),ALL,ALL,5000,5000,47.3,77.52,17.08,sAMB / sDIS,0.012 / 0.039647577090000004,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_low,gpt_5_5,GPT 5.5,reasoning_low,REPORTED_AGGREGATE,Nationality,ALL,ALL,3080,3080,63.37662338,80.38961039,46.36363636,sAMB / sDIS,-0.04285714286 / -0.00694444444,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_low,gpt_5_5,GPT 5.5,reasoning_low,REPORTED_AGGREGATE,Physical_appearance,ALL,ALL,1576,1576,55.32994924,70.30456853,40.35532995,sAMB / sDIS,0.02284263959 / 0.1006289308,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_low,gpt_5_5,GPT 5.5,reasoning_low,REPORTED_AGGREGATE,Race_ethnicity,ALL,ALL,1880,1880,61.11702128,76.80851064,45.42553191,sAMB / sDIS,0.01914893617 / 0.1396332863,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_low,gpt_5_5,GPT 5.5,reasoning_low,REPORTED_AGGREGATE,Race_ethnicity (names),ALL,ALL,5000,5000,57.82,82.4,33.24,sAMB / sDIS,0.0064 / -0.00299850075,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_low,gpt_5_5,GPT 5.5,reasoning_low,REPORTED_AGGREGATE,Race_x_SES,ALL,ALL,3360,3360,61.66666667,77.5,45.83333333,sAMB / sDIS,0.0035714285699999996 / -0.00506879073,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_low,gpt_5_5,GPT 5.5,reasoning_low,REPORTED_AGGREGATE,Race_x_SES (names),ALL,ALL,7800,7800,57.58974359,76.87179487,38.30769231,sAMB / sDIS,-0.03641025641 / -0.04802867384,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_low,gpt_5_5,GPT 5.5,reasoning_low,REPORTED_AGGREGATE,Race_x_gender,ALL,ALL,4560,4560,60.74561404,80.1754386,41.31578947,sAMB / sDIS,0.01929824561 / 0.00656455142,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_low,gpt_5_5,GPT 5.5,reasoning_low,REPORTED_AGGREGATE,Race_x_gender (names),ALL,ALL,11400,11400,57.57017544,80.42105263,34.71929825,sAMB / sDIS,-0.01614035088 / -0.0031886190800000003,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_low,gpt_5_5,GPT 5.5,reasoning_low,REPORTED_AGGREGATE,Religion,ALL,ALL,1200,1200,59.0,80.0,38.0,sAMB / sDIS,-0.03333333333 / -0.04278074866,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_low,gpt_5_5,GPT 5.5,reasoning_low,REPORTED_AGGREGATE,SES,ALL,ALL,6864,6864,54.66200466,75.17482517,34.14918415,sAMB / sDIS,0.07575757576 / 0.47422680409999995,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_low,gpt_5_5,GPT 5.5,reasoning_low,REPORTED_AGGREGATE,Sexual_orientation,ALL,ALL,864,864,50.92592593,71.2962963,30.55555556,sAMB / sDIS,0.03703703704 / -0.00694444444,,Source taxonomy; not independently rescored.
