result_level,evaluation_id,model_id,model_name,condition_id,verification_status,category,context,polarity,n,valid_n,accuracy_pct,ambig_accuracy_pct,disambig_accuracy_pct,bias_type,bias_score,alignment_gap_pp,notes
OVERALL,gpt_5_6_lunawork__reasoning_high,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_high,REPORTED_AGGREGATE,ALL,ALL,ALL,58492,58492,100.0,100.0,100.0,N/A,,,Accuracy reconstructed from supplied category aggregates. Overall bias/alignment left N/A pending raw/scorer audit.
OVERALL,gpt_5_6_lunawork__reasoning_low,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_low,REPORTED_AGGREGATE,ALL,ALL,ALL,58492,58492,44.91383437094919,79.65533748101348,10.172331257616769,N/A,,,Accuracy reconstructed from supplied category aggregates. Overall bias/alignment left N/A pending raw/scorer audit.
OVERALL,gpt_5_6_lunawork__reasoning_medium,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_medium,REPORTED_AGGREGATE,ALL,ALL,ALL,58492,58492,60.07484033693975,87.07982580031388,33.06985487262327,N/A,,,Accuracy reconstructed from supplied category aggregates. Overall bias/alignment left N/A pending raw/scorer audit.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_high,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_high,REPORTED_AGGREGATE,Age,ALL,ALL,3680,3680,100.0,100.0,100.0,sAMB / sDIS,None / 0.0,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_high,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_high,REPORTED_AGGREGATE,Sexual_orientation,ALL,ALL,864,864,100.0,100.0,100.0,sAMB / sDIS,None / 0.0,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_medium,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_medium,REPORTED_AGGREGATE,Age,ALL,ALL,3680,3680,56.49456522,85.32608696,27.66304348,sAMB / sDIS,0.0021739130400000002 / 0.01038575668,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_medium,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_medium,REPORTED_AGGREGATE,Disability_status,ALL,ALL,1556,1556,59.64010283,89.71722365,29.56298201,sAMB / sDIS,-0.0051413881699999995 / -0.46976744189999997,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_medium,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_medium,REPORTED_AGGREGATE,Gender_identity,ALL,ALL,672,672,62.34756098,92.07317073,32.62195122,sAMB / sDIS,0.01219512195 / -0.031496062990000004,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_medium,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_medium,REPORTED_AGGREGATE,Gender_identity (names),ALL,ALL,5000,5000,55.0,87.0,23.0,sAMB / sDIS,0.013999999999999999 / 0.00258397933,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_medium,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_medium,REPORTED_AGGREGATE,Nationality,ALL,ALL,3080,3080,57.01298701,74.22077922,39.80519481,sAMB / sDIS,0.00584415584 / -0.01218521527,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_medium,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_medium,REPORTED_AGGREGATE,Physical_appearance,ALL,ALL,1576,1576,52.79187817,70.55837563,35.02538071,sAMB / sDIS,0.00507614213 / -0.041292639140000004,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_medium,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_medium,REPORTED_AGGREGATE,Race_ethnicity,ALL,ALL,1880,1880,56.06382979,82.0212766,30.10638298,sAMB / sDIS,-0.00319148936 / -0.01045296167,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_medium,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_medium,REPORTED_AGGREGATE,Race_ethnicity (names),ALL,ALL,5000,5000,54.64,77.12,32.16,sAMB / sDIS,0.0016 / -0.0006027727499999999,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_medium,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_medium,REPORTED_AGGREGATE,Race_x_SES,ALL,ALL,3360,3360,56.99404762,87.02380952,26.96428571,sAMB / sDIS,-0.00595238095 / 0.01848428835,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_medium,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_medium,REPORTED_AGGREGATE,Race_x_SES (names),ALL,ALL,7800,7800,63.87179487,94.05128205,33.69230769,sAMB / sDIS,0.00205128205 / 0.03170254403,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_medium,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_medium,REPORTED_AGGREGATE,Race_x_gender,ALL,ALL,4560,4560,67.34649123,90.35087719,44.34210526,sAMB / sDIS,0.00789473684 / -0.00720906282,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_medium,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_medium,REPORTED_AGGREGATE,Race_x_gender (names),ALL,ALL,11400,11400,65.0877193,89.52631579,40.64912281,sAMB / sDIS,0.00964912281 / 0.0027583280300000003,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_medium,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_medium,REPORTED_AGGREGATE,Religion,ALL,ALL,1200,1200,59.41666667,82.66666667,36.16666667,sAMB / sDIS,-0.03 / -0.03649635036,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_medium,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_medium,REPORTED_AGGREGATE,SES,ALL,ALL,6864,6864,57.34265734,91.2004662,23.48484848,sAMB / sDIS,-0.005244755239999999 / -0.03301540719,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_medium,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_medium,REPORTED_AGGREGATE,Sexual_orientation,ALL,ALL,864,864,63.88888889,92.12962963,35.64814815,sAMB / sDIS,0.00462962963 / 0.01038062284,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_low,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_low,REPORTED_AGGREGATE,Age,ALL,ALL,3680,3680,45.35326087,81.41304348,9.293478261,sAMB / sDIS,-0.00760869565 / -0.04093567250999999,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_low,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_low,REPORTED_AGGREGATE,Disability_status,ALL,ALL,1556,1556,44.85861183,79.4344473,10.28277635,sAMB / sDIS,0.01542416452 / 0.075,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_low,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_low,REPORTED_AGGREGATE,Gender_identity,ALL,ALL,672,672,43.75,75.0,12.5,sAMB / sDIS,-0.00609756098 / -0.0243902439,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_low,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_low,REPORTED_AGGREGATE,Gender_identity (names),ALL,ALL,5000,5000,45.12,80.48,9.76,sAMB / sDIS,-0.0064 / -0.03278688525,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_low,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_low,REPORTED_AGGREGATE,Nationality,ALL,ALL,3080,3080,44.87012987,79.48051948,10.25974026,sAMB / sDIS,0.01038961039 / 0.05063291139000001,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_low,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_low,REPORTED_AGGREGATE,Physical_appearance,ALL,ALL,1576,1576,44.67005076,78.68020305,10.65989848,sAMB / sDIS,-0.030456852790000002 / -0.14285714289999998,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_low,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_low,REPORTED_AGGREGATE,Race_ethnicity,ALL,ALL,1880,1880,43.77659574,75.10638298,12.44680851,sAMB / sDIS,-0.01063829787 / -0.04273504274000001,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_low,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_low,REPORTED_AGGREGATE,Race_ethnicity (names),ALL,ALL,5000,5000,45.24,80.96,9.52,sAMB / sDIS,0.0016 / 0.00840336134,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_low,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_low,REPORTED_AGGREGATE,Race_x_SES,ALL,ALL,3360,3360,45.0297619,80.11904762,9.94047619,sAMB / sDIS,0.020238095239999997 / 0.1017964072,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_low,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_low,REPORTED_AGGREGATE,Race_x_SES (names),ALL,ALL,7800,7800,44.51282051,78.05128205,10.97435897,sAMB / sDIS,0.0 / 0.0,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_low,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_low,REPORTED_AGGREGATE,Race_x_gender,ALL,ALL,4560,4560,44.84649123,79.38596491,10.30701754,sAMB / sDIS,-0.02368421053 / -0.114893617,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_low,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_low,REPORTED_AGGREGATE,Race_x_gender (names),ALL,ALL,11400,11400,45.21052632,80.84210526,9.578947368,sAMB / sDIS,0.00210526316 / 0.01098901099,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_low,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_low,REPORTED_AGGREGATE,Religion,ALL,ALL,1200,1200,45.33333333,81.33333333,9.333333333,sAMB / sDIS,0.013333333329999999 / 0.07142857142999999,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_low,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_low,REPORTED_AGGREGATE,SES,ALL,ALL,6864,6864,44.82808858,79.31235431,10.34382284,sAMB / sDIS,-0.00174825175 / -0.00845070423,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_low,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_low,REPORTED_AGGREGATE,Sexual_orientation,ALL,ALL,864,864,43.75,75.0,12.5,sAMB / sDIS,0.02777777778 / 0.11111111109999999,,Source taxonomy; not independently rescored.
