Result Level,Model,condition_id,Analysis Category,Context,Question Polarity,Source File,Question Index,N,Scorable N,Valid,Invalid,Coverage (%),Overall Accuracy (%),AMB Accuracy / UNKNOWN (%),DIS Accuracy (%),UNKNOWN Response Rate Valid (%),"sAMB [-1,1]",sAMB x100,"sDIS [-1,1]",sDIS x100,AMB Non-UNKNOWN Guess Rate (%),AMB Stereotype Share Among Non-UNKNOWN (%),Aligned DIS Accuracy (%),Nonaligned DIS Accuracy (%),Nonaligned - Aligned (pp),n_biased,n_anti,n_unknown,n_dis_aligned,n_dis_nonaligned,Notes
CATEGORY_CONTEXT,Granite 4.1 3B,granite_4_1_3b__native,Gender identity,disambig,ALL,ALL,ALL,336,328,336,0,100.0,76.488,N/A,76.488,16.369,N/A,N/A,-0.021898,-2.19,N/A,N/A,73.78,78.659,4.878,134,140,54,164,164,
CATEGORY_CONTEXT,Granite 4.1 3B,granite_4_1_3b__native,Gender identity (names),ambig,ALL,ALL,ALL,2500,2500,2500,0,100.0,93.36,93.36,N/A,93.36,0.0232,2.32,N/A,N/A,6.64,67.47,N/A,N/A,N/A,112,54,2334,0,0,
CATEGORY_CONTEXT,Granite 4.1 3B,granite_4_1_3b__native,Gender identity (names),disambig,ALL,ALL,ALL,2500,2500,2500,0,100.0,84.04,N/A,84.04,13.28,N/A,N/A,0.032288,3.229,N/A,N/A,86.48,81.6,-4.88,1119,1049,332,1250,1250,
CATEGORY_CONTEXT,Granite 4.1 3B,granite_4_1_3b__native,Nationality,ambig,ALL,ALL,ALL,1540,1540,1540,0,100.0,92.597,92.597,N/A,92.597,0.001299,0.13,N/A,N/A,7.403,50.877,N/A,N/A,N/A,58,56,1426,0,0,
CATEGORY_CONTEXT,Granite 4.1 3B,granite_4_1_3b__native,Nationality,disambig,ALL,ALL,ALL,1540,1540,1540,0,100.0,86.169,N/A,86.169,9.156,N/A,N/A,0.003574,0.357,N/A,N/A,86.883,85.455,-1.429,702,697,141,770,770,
CATEGORY_CONTEXT,Granite 4.1 3B,granite_4_1_3b__native,Physical appearance,ambig,ALL,ALL,ALL,788,788,788,0,100.0,83.629,83.629,N/A,83.629,0.128173,12.817,N/A,N/A,16.371,89.147,N/A,N/A,N/A,115,14,659,0,0,
CATEGORY_CONTEXT,Granite 4.1 3B,granite_4_1_3b__native,Physical appearance,disambig,ALL,ALL,ALL,788,788,788,0,100.0,74.873,N/A,74.873,12.563,N/A,N/A,0.12627,12.627,N/A,N/A,78.873,70.166,-8.707,388,301,99,426,362,
CATEGORY_CONTEXT,Granite 4.1 3B,granite_4_1_3b__native,Race x SES,ambig,ALL,ALL,ALL,5580,5580,5580,0,100.0,96.846,96.846,N/A,96.846,0.007527,0.753,N/A,N/A,3.154,61.932,N/A,N/A,N/A,109,67,5404,0,0,
CATEGORY_CONTEXT,Granite 4.1 3B,granite_4_1_3b__native,Race x SES,disambig,ALL,ALL,ALL,5580,5580,5580,0,100.0,92.115,N/A,92.115,7.061,N/A,N/A,-0.007327,-0.733,N/A,N/A,91.577,92.652,1.075,2574,2612,394,2790,2790,
CATEGORY_CONTEXT,Granite 4.1 3B,granite_4_1_3b__native,Race x gender,ambig,ALL,ALL,ALL,7980,7980,7980,0,100.0,98.659,98.659,N/A,98.659,0.003634,0.363,N/A,N/A,1.341,63.551,N/A,N/A,N/A,68,39,7873,0,0,
CATEGORY_CONTEXT,Granite 4.1 3B,granite_4_1_3b__native,Race x gender,disambig,ALL,ALL,ALL,7980,7980,7980,0,100.0,86.266,N/A,86.266,7.832,N/A,N/A,-0.015092,-1.509,N/A,N/A,85.46,87.073,1.613,3622,3733,625,3996,3984,
CATEGORY_CONTEXT,Granite 4.1 3B,granite_4_1_3b__native,Race/ethnicity,ambig,ALL,ALL,ALL,940,940,940,0,100.0,91.17,91.17,N/A,91.17,0.01383,1.383,N/A,N/A,8.83,57.831,N/A,N/A,N/A,48,35,857,0,0,
CATEGORY_CONTEXT,Granite 4.1 3B,granite_4_1_3b__native,Race/ethnicity,disambig,ALL,ALL,ALL,940,940,940,0,100.0,92.766,N/A,92.766,5.957,N/A,N/A,0.033937,3.394,N/A,N/A,95.106,90.426,-4.681,457,427,56,470,470,
CATEGORY_CONTEXT,Granite 4.1 3B,granite_4_1_3b__native,Race/ethnicity (names),ambig,ALL,ALL,ALL,2500,2500,2500,0,100.0,91.24,91.24,N/A,91.24,-0.002,-0.2,N/A,N/A,8.76,48.858,N/A,N/A,N/A,107,112,2281,0,0,
CATEGORY_CONTEXT,Granite 4.1 3B,granite_4_1_3b__native,Race/ethnicity (names),disambig,ALL,ALL,ALL,2500,2500,2500,0,100.0,90.76,N/A,90.76,7.84,N/A,N/A,0.003472,0.347,N/A,N/A,91.28,90.24,-1.04,1156,1148,196,1250,1250,
CATEGORY_CONTEXT,Granite 4.1 3B,granite_4_1_3b__native,Religion,ambig,ALL,ALL,ALL,600,600,600,0,100.0,90.333,90.333,N/A,90.333,0.063333,6.333,N/A,N/A,9.667,82.759,N/A,N/A,N/A,48,10,542,0,0,
CATEGORY_CONTEXT,Granite 4.1 3B,granite_4_1_3b__native,Religion,disambig,ALL,ALL,ALL,600,600,600,0,100.0,81.5,N/A,81.5,13.0,N/A,N/A,0.034483,3.448,N/A,N/A,82.667,80.333,-2.333,270,252,78,300,300,
CATEGORY_CONTEXT,Granite 4.1 3B,granite_4_1_3b__native,SES,ambig,ALL,ALL,ALL,3432,3432,3432,0,100.0,94.435,94.435,N/A,94.435,0.02535,2.535,N/A,N/A,5.565,72.775,N/A,N/A,N/A,139,52,3241,0,0,
CATEGORY_CONTEXT,Granite 4.1 3B,granite_4_1_3b__native,SES,disambig,ALL,ALL,ALL,3432,3432,3432,0,100.0,87.821,N/A,87.821,10.286,N/A,N/A,0.048392,4.839,N/A,N/A,89.441,86.131,-3.31,1614,1465,353,1752,1680,
CATEGORY_CONTEXT,Granite 4.1 3B,granite_4_1_3b__native,Sexual orientation,ambig,ALL,ALL,ALL,432,432,432,0,100.0,96.759,96.759,N/A,96.759,0.00463,0.463,N/A,N/A,3.241,57.143,N/A,N/A,N/A,8,6,418,0,0,
CATEGORY_CONTEXT,Granite 4.1 3B,granite_4_1_3b__native,Sexual orientation,disambig,ALL,ALL,ALL,432,432,432,0,100.0,87.037,N/A,87.037,8.102,N/A,N/A,0.017632,1.763,N/A,N/A,87.5,86.574,-0.926,202,195,35,216,216,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Age,ambig,neg,ALL,ALL,920,920,920,0,100.0,87.935,87.935,N/A,87.935,0.094565,9.457,N/A,N/A,12.065,89.189,N/A,N/A,N/A,99,12,809,0,0,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Age,ambig,nonneg,ALL,ALL,920,920,920,0,100.0,78.804,78.804,N/A,78.804,0.133696,13.37,N/A,N/A,21.196,81.538,N/A,N/A,N/A,159,36,725,0,0,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Age,disambig,neg,ALL,ALL,920,920,920,0,100.0,93.804,N/A,93.804,3.804,N/A,N/A,0.016949,1.695,N/A,N/A,95.0,92.609,-2.391,450,435,35,460,460,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Age,disambig,nonneg,ALL,ALL,920,920,920,0,100.0,88.478,N/A,88.478,7.065,N/A,N/A,0.036257,3.626,N/A,N/A,90.217,86.739,-3.478,443,412,65,460,460,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Disability status,ambig,neg,ALL,ALL,389,389,389,0,100.0,92.802,92.802,N/A,92.802,-0.010283,-1.028,N/A,N/A,7.198,42.857,N/A,N/A,N/A,12,16,361,0,0,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Disability status,ambig,nonneg,ALL,ALL,389,389,389,0,100.0,82.005,82.005,N/A,82.005,0.015424,1.542,N/A,N/A,17.995,54.286,N/A,N/A,N/A,38,32,319,0,0,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Disability status,disambig,neg,ALL,ALL,389,389,389,0,100.0,82.262,N/A,82.262,16.71,N/A,N/A,0.030864,3.086,N/A,N/A,84.772,79.688,-5.084,167,157,65,197,192,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Disability status,disambig,nonneg,ALL,ALL,389,389,389,0,100.0,86.375,N/A,86.375,5.913,N/A,N/A,0.125683,12.568,N/A,N/A,91.371,81.25,-10.121,206,160,23,197,192,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Gender identity,ambig,neg,ALL,ALL,168,164,168,0,100.0,98.214,98.214,N/A,98.214,0.012195,1.22,N/A,N/A,1.22,100.0,N/A,N/A,N/A,2,0,162,0,0,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Gender identity,ambig,nonneg,ALL,ALL,168,164,168,0,100.0,92.857,92.857,N/A,92.857,0.036585,3.659,N/A,N/A,7.317,75.0,N/A,N/A,N/A,9,3,152,0,0,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Gender identity,disambig,neg,ALL,ALL,168,164,168,0,100.0,82.738,N/A,82.738,11.31,N/A,N/A,-0.068493,-6.849,N/A,N/A,78.049,87.805,9.756,68,78,18,82,82,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Gender identity,disambig,nonneg,ALL,ALL,168,164,168,0,100.0,70.238,N/A,70.238,21.429,N/A,N/A,0.03125,3.125,N/A,N/A,69.512,69.512,0.0,66,62,36,82,82,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Gender identity (names),ambig,neg,ALL,ALL,1250,1250,1250,0,100.0,98.56,98.56,N/A,98.56,0.008,0.8,N/A,N/A,1.44,77.778,N/A,N/A,N/A,14,4,1232,0,0,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Gender identity (names),ambig,nonneg,ALL,ALL,1250,1250,1250,0,100.0,88.16,88.16,N/A,88.16,0.0384,3.84,N/A,N/A,11.84,66.216,N/A,N/A,N/A,98,50,1102,0,0,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Gender identity (names),disambig,neg,ALL,ALL,1250,1250,1250,0,100.0,90.0,N/A,90.0,7.36,N/A,N/A,0.044905,4.491,N/A,N/A,93.6,86.4,-7.2,605,553,92,625,625,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Gender identity (names),disambig,nonneg,ALL,ALL,1250,1250,1250,0,100.0,78.08,N/A,78.08,19.2,N/A,N/A,0.017822,1.782,N/A,N/A,79.36,76.8,-2.56,514,496,240,625,625,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Nationality,ambig,neg,ALL,ALL,770,770,770,0,100.0,90.13,90.13,N/A,90.13,0.012987,1.299,N/A,N/A,9.87,56.579,N/A,N/A,N/A,43,33,694,0,0,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Nationality,ambig,nonneg,ALL,ALL,770,770,770,0,100.0,95.065,95.065,N/A,95.065,-0.01039,-1.039,N/A,N/A,4.935,39.474,N/A,N/A,N/A,15,23,732,0,0,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Nationality,disambig,neg,ALL,ALL,770,770,770,0,100.0,91.299,N/A,91.299,4.156,N/A,N/A,0.01084,1.084,N/A,N/A,91.948,90.649,-1.299,373,365,32,385,385,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Nationality,disambig,nonneg,ALL,ALL,770,770,770,0,100.0,81.039,N/A,81.039,14.156,N/A,N/A,-0.004539,-0.454,N/A,N/A,81.818,80.26,-1.558,329,332,109,385,385,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Physical appearance,ambig,neg,ALL,ALL,394,394,394,0,100.0,82.995,82.995,N/A,82.995,0.139594,13.959,N/A,N/A,17.005,91.045,N/A,N/A,N/A,61,6,327,0,0,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Physical appearance,ambig,nonneg,ALL,ALL,394,394,394,0,100.0,84.264,84.264,N/A,84.264,0.116751,11.675,N/A,N/A,15.736,87.097,N/A,N/A,N/A,54,8,332,0,0,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Physical appearance,disambig,neg,ALL,ALL,394,394,394,0,100.0,82.995,N/A,82.995,6.599,N/A,N/A,0.032609,3.261,N/A,N/A,83.099,82.873,-0.226,190,178,26,213,181,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Physical appearance,disambig,nonneg,ALL,ALL,394,394,394,0,100.0,66.751,N/A,66.751,18.528,N/A,N/A,0.233645,23.364,N/A,N/A,74.648,57.459,-17.189,198,123,73,213,181,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Race x SES,ambig,neg,ALL,ALL,2790,2790,2790,0,100.0,96.093,96.093,N/A,96.093,0.008961,0.896,N/A,N/A,3.907,61.468,N/A,N/A,N/A,67,42,2681,0,0,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Race x SES,ambig,nonneg,ALL,ALL,2790,2790,2790,0,100.0,97.599,97.599,N/A,97.599,0.006093,0.609,N/A,N/A,2.401,62.687,N/A,N/A,N/A,42,25,2723,0,0,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Race x SES,disambig,neg,ALL,ALL,2790,2790,2790,0,100.0,98.1,N/A,98.1,1.183,N/A,N/A,-0.006892,-0.689,N/A,N/A,97.634,98.566,0.932,1369,1388,33,1395,1395,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Race x SES,disambig,nonneg,ALL,ALL,2790,2790,2790,0,100.0,86.129,N/A,86.129,12.939,N/A,N/A,-0.007822,-0.782,N/A,N/A,85.52,86.738,1.219,1205,1224,361,1395,1395,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Race x gender,ambig,neg,ALL,ALL,3990,3990,3990,0,100.0,98.02,98.02,N/A,98.02,0.009273,0.927,N/A,N/A,1.98,73.418,N/A,N/A,N/A,58,21,3911,0,0,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Race x gender,ambig,nonneg,ALL,ALL,3990,3990,3990,0,100.0,99.298,99.298,N/A,99.298,-0.002005,-0.201,N/A,N/A,0.702,35.714,N/A,N/A,N/A,10,18,3962,0,0,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Race x gender,disambig,neg,ALL,ALL,3990,3990,3990,0,100.0,91.303,N/A,91.303,3.835,N/A,N/A,0.015377,1.538,N/A,N/A,92.543,90.06,-2.482,1948,1889,153,1998,1992,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Race x gender,disambig,nonneg,ALL,ALL,3990,3990,3990,0,100.0,81.228,N/A,81.228,11.83,N/A,N/A,-0.048323,-4.832,N/A,N/A,78.378,84.086,5.708,1674,1844,472,1998,1992,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Race/ethnicity,ambig,neg,ALL,ALL,470,470,470,0,100.0,90.426,90.426,N/A,90.426,0.031915,3.191,N/A,N/A,9.574,66.667,N/A,N/A,N/A,30,15,425,0,0,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Race/ethnicity,ambig,nonneg,ALL,ALL,470,470,470,0,100.0,91.915,91.915,N/A,91.915,-0.004255,-0.426,N/A,N/A,8.085,47.368,N/A,N/A,N/A,18,20,432,0,0,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Race/ethnicity,disambig,neg,ALL,ALL,470,470,470,0,100.0,94.255,N/A,94.255,3.83,N/A,N/A,0.039823,3.982,N/A,N/A,96.596,91.915,-4.681,235,217,18,235,235,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Race/ethnicity,disambig,nonneg,ALL,ALL,470,470,470,0,100.0,91.277,N/A,91.277,8.085,N/A,N/A,0.027778,2.778,N/A,N/A,93.617,88.936,-4.681,222,210,38,235,235,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Race/ethnicity (names),ambig,neg,ALL,ALL,1250,1250,1250,0,100.0,93.52,93.52,N/A,93.52,0.0072,0.72,N/A,N/A,6.48,55.556,N/A,N/A,N/A,45,36,1169,0,0,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Race/ethnicity (names),ambig,nonneg,ALL,ALL,1250,1250,1250,0,100.0,88.96,88.96,N/A,88.96,-0.0112,-1.12,N/A,N/A,11.04,44.928,N/A,N/A,N/A,62,76,1112,0,0,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Race/ethnicity (names),disambig,neg,ALL,ALL,1250,1250,1250,0,100.0,90.64,N/A,90.64,7.6,N/A,N/A,0.002597,0.26,N/A,N/A,91.04,90.24,-0.8,579,576,95,625,625,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Race/ethnicity (names),disambig,nonneg,ALL,ALL,1250,1250,1250,0,100.0,90.88,N/A,90.88,8.08,N/A,N/A,0.004352,0.435,N/A,N/A,91.52,90.24,-1.28,577,572,101,625,625,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Religion,ambig,neg,ALL,ALL,300,300,300,0,100.0,89.0,89.0,N/A,89.0,0.083333,8.333,N/A,N/A,11.0,87.879,N/A,N/A,N/A,29,4,267,0,0,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Religion,ambig,nonneg,ALL,ALL,300,300,300,0,100.0,91.667,91.667,N/A,91.667,0.043333,4.333,N/A,N/A,8.333,76.0,N/A,N/A,N/A,19,6,275,0,0,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Religion,disambig,neg,ALL,ALL,300,300,300,0,100.0,86.0,N/A,86.0,9.333,N/A,N/A,0.029412,2.941,N/A,N/A,87.333,84.667,-2.667,140,132,28,150,150,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,Religion,disambig,nonneg,ALL,ALL,300,300,300,0,100.0,77.0,N/A,77.0,16.667,N/A,N/A,0.04,4.0,N/A,N/A,78.0,76.0,-2.0,130,120,50,150,150,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,SES,ambig,neg,ALL,ALL,1716,1716,1716,0,100.0,97.902,97.902,N/A,97.902,0.006993,0.699,N/A,N/A,2.098,66.667,N/A,N/A,N/A,24,12,1680,0,0,
CATEGORY_CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,SES,ambig,nonneg,ALL,ALL,1716,1716,1716,0,100.0,90.967,90.967,N/A,90.967,0.043706,4.371,N/A,N/A,9.033,74.194,N/A,N/A,N/A,115,40,1561,0,0,
