evaluation_id,model_id,model_name,condition_id,source_model_label,condition_label_status,verification_status,source_group,category_schema,n,scorable_n,valid_n,invalid_n,coverage_pct,overall_accuracy_pct,ambig_accuracy_pct,disambig_accuracy_pct,sAMB,sDIS,source_sAMB_x100,source_sDIS_x100,notes
gpt_5_5__reasoning_medium,gpt_5_5,GPT 5.5,reasoning_medium,GPT 5.5 vá»,INFERRED_FROM_MOJIBAKE,REPORTED_AGGREGATE,Disability_status,gpt_source_15,1556,1556,1556,0,100.0,71.9151671,93.83033419,50.0,-0.01028277635,-0.24866310160000002,-1.028277635,-24.86631016,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_medium,gpt_5_5,GPT 5.5,reasoning_medium,GPT 5.5 vá»,INFERRED_FROM_MOJIBAKE,REPORTED_AGGREGATE,Gender_identity,gpt_source_15,672,656,672,0,100.0,68.75,88.41463415,49.08536585,-0.018292682929999998,-0.05590062112,-1.829268293,-5.590062112,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_medium,gpt_5_5,GPT 5.5,reasoning_medium,GPT 5.5 vá»,INFERRED_FROM_MOJIBAKE,REPORTED_AGGREGATE,Gender_identity (names),gpt_source_15,5000,5000,5000,0,100.0,71.14,94.24,48.04,-0.0016,0.012458471760000001,-0.16,1.245847176,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_medium,gpt_5_5,GPT 5.5,reasoning_medium,GPT 5.5 vá»,INFERRED_FROM_MOJIBAKE,REPORTED_AGGREGATE,Nationality,gpt_source_15,3080,3080,3080,0,100.0,68.73376623,92.72727273,44.74025974,-0.01558441558,-0.038563829790000004,-1.558441558,-3.856382979,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_medium,gpt_5_5,GPT 5.5,reasoning_medium,GPT 5.5 vá»,INFERRED_FROM_MOJIBAKE,REPORTED_AGGREGATE,Physical_appearance,gpt_source_15,1576,1576,1576,0,100.0,69.86040609,91.37055838,48.35025381,-0.01015228426,-0.1181102362,-1.015228426,-11.81102362,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_medium,gpt_5_5,GPT 5.5,reasoning_medium,GPT 5.5 vá»,INFERRED_FROM_MOJIBAKE,REPORTED_AGGREGATE,Race_ethnicity,gpt_source_15,1880,1880,1880,0,100.0,70.10638298,92.9787234,47.23404255,0.01063829787,0.02178649237,1.063829787,2.178649237,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_medium,gpt_5_5,GPT 5.5,reasoning_medium,GPT 5.5 vá»,INFERRED_FROM_MOJIBAKE,REPORTED_AGGREGATE,Race_ethnicity (names),gpt_source_15,5000,5000,5000,0,100.0,69.92,93.2,46.64,-0.0088,-0.028169014080000002,-0.88,-2.816901408,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_medium,gpt_5_5,GPT 5.5,reasoning_medium,GPT 5.5 vá»,INFERRED_FROM_MOJIBAKE,REPORTED_AGGREGATE,Race_x_SES,gpt_source_15,3360,3360,3360,0,100.0,79.375,91.07142857,67.67857143,0.0011904761899999999,-0.04104477612,0.119047619,-4.104477612,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_medium,gpt_5_5,GPT 5.5,reasoning_medium,GPT 5.5 vá»,INFERRED_FROM_MOJIBAKE,REPORTED_AGGREGATE,Race_x_SES (names),gpt_source_15,7800,7800,7800,0,100.0,76.28205128,93.79487179,58.76923077,0.00871794872,0.0447761194,0.871794872,4.47761194,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_medium,gpt_5_5,GPT 5.5,reasoning_medium,GPT 5.5 vá»,INFERRED_FROM_MOJIBAKE,REPORTED_AGGREGATE,Race_x_gender,gpt_source_15,4560,4560,4560,0,100.0,68.31140351,93.59649123,43.02631579,0.00964912281,-0.01356238698,0.964912281,-1.356238698,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_medium,gpt_5_5,GPT 5.5,reasoning_medium,GPT 5.5 vá»,INFERRED_FROM_MOJIBAKE,REPORTED_AGGREGATE,Race_x_gender (names),gpt_source_15,11400,11400,11400,0,100.0,69.68421053,93.43859649,45.92982456,-0.00526315789,-0.01016702977,-0.526315789,-1.016702977,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_medium,gpt_5_5,GPT 5.5,reasoning_medium,GPT 5.5 vá»,INFERRED_FROM_MOJIBAKE,REPORTED_AGGREGATE,Religion,gpt_source_15,1200,1200,1200,0,100.0,70.75,92.66666667,48.83333333,-0.02,-0.03754266212,-2.0,-3.754266212,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_medium,gpt_5_5,GPT 5.5,reasoning_medium,GPT 5.5 vá»,INFERRED_FROM_MOJIBAKE,REPORTED_AGGREGATE,SES,gpt_source_15,6864,6864,6864,0,100.0,74.83974359,92.5990676,57.08041958,0.01223776224,0.01148036254,1.223776224,1.148036254,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_medium,gpt_5_5,GPT 5.5,reasoning_medium,GPT 5.5 vá»,INFERRED_FROM_MOJIBAKE,REPORTED_AGGREGATE,Sexual_orientation,gpt_source_15,864,864,864,0,100.0,69.90740741,93.98148148,45.83333333,0.023148148150000002,-0.019138755979999998,2.314814815,-1.913875598,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_6_lunawork__reasoning_high,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_high,GPT 5.6 LunaWork cao,CONFIRMED_FROM_SOURCE_LABEL,REPORTED_AGGREGATE,Age,gpt_source_15,3680,3680,3680,0,100.0,100.0,100.0,100.0,,0.0,,0.0,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_6_lunawork__reasoning_high,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_high,GPT 5.6 LunaWork cao,CONFIRMED_FROM_SOURCE_LABEL,REPORTED_AGGREGATE,Disability_status,gpt_source_15,1556,1556,1556,0,100.0,100.0,100.0,100.0,,0.0,,0.0,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_6_lunawork__reasoning_high,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_high,GPT 5.6 LunaWork cao,CONFIRMED_FROM_SOURCE_LABEL,REPORTED_AGGREGATE,Gender_identity,gpt_source_15,672,656,672,0,100.0,100.0,100.0,100.0,,0.0,,0.0,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_6_lunawork__reasoning_high,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_high,GPT 5.6 LunaWork cao,CONFIRMED_FROM_SOURCE_LABEL,REPORTED_AGGREGATE,Gender_identity (names),gpt_source_15,5000,5000,5000,0,100.0,100.0,100.0,100.0,,0.0,,0.0,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_6_lunawork__reasoning_high,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_high,GPT 5.6 LunaWork cao,CONFIRMED_FROM_SOURCE_LABEL,REPORTED_AGGREGATE,Nationality,gpt_source_15,3080,3080,3080,0,100.0,100.0,100.0,100.0,,0.0,,0.0,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_6_lunawork__reasoning_high,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_high,GPT 5.6 LunaWork cao,CONFIRMED_FROM_SOURCE_LABEL,REPORTED_AGGREGATE,Physical_appearance,gpt_source_15,1576,1576,1576,0,100.0,100.0,100.0,100.0,,0.0,,0.0,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_6_lunawork__reasoning_high,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_high,GPT 5.6 LunaWork cao,CONFIRMED_FROM_SOURCE_LABEL,REPORTED_AGGREGATE,Race_ethnicity,gpt_source_15,1880,1880,1880,0,100.0,100.0,100.0,100.0,,0.0,,0.0,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_6_lunawork__reasoning_high,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_high,GPT 5.6 LunaWork cao,CONFIRMED_FROM_SOURCE_LABEL,REPORTED_AGGREGATE,Race_ethnicity (names),gpt_source_15,5000,5000,5000,0,100.0,100.0,100.0,100.0,,0.0,,0.0,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_6_lunawork__reasoning_high,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_high,GPT 5.6 LunaWork cao,CONFIRMED_FROM_SOURCE_LABEL,REPORTED_AGGREGATE,Race_x_SES,gpt_source_15,3360,3360,3360,0,100.0,100.0,100.0,100.0,,0.0,,0.0,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_6_lunawork__reasoning_high,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_high,GPT 5.6 LunaWork cao,CONFIRMED_FROM_SOURCE_LABEL,REPORTED_AGGREGATE,Race_x_SES (names),gpt_source_15,7800,7800,7800,0,100.0,100.0,100.0,100.0,,0.0,,0.0,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_6_lunawork__reasoning_high,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_high,GPT 5.6 LunaWork cao,CONFIRMED_FROM_SOURCE_LABEL,REPORTED_AGGREGATE,Race_x_gender,gpt_source_15,4560,4560,4560,0,100.0,100.0,100.0,100.0,,0.0,,0.0,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_6_lunawork__reasoning_high,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_high,GPT 5.6 LunaWork cao,CONFIRMED_FROM_SOURCE_LABEL,REPORTED_AGGREGATE,Race_x_gender (names),gpt_source_15,11400,11400,11400,0,100.0,100.0,100.0,100.0,,0.0,,0.0,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_6_lunawork__reasoning_high,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_high,GPT 5.6 LunaWork cao,CONFIRMED_FROM_SOURCE_LABEL,REPORTED_AGGREGATE,Religion,gpt_source_15,1200,1200,1200,0,100.0,100.0,100.0,100.0,,0.0,,0.0,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_6_lunawork__reasoning_high,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_high,GPT 5.6 LunaWork cao,CONFIRMED_FROM_SOURCE_LABEL,REPORTED_AGGREGATE,SES,gpt_source_15,6864,6864,6864,0,100.0,100.0,100.0,100.0,,0.0,,0.0,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_6_lunawork__reasoning_high,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_high,GPT 5.6 LunaWork cao,CONFIRMED_FROM_SOURCE_LABEL,REPORTED_AGGREGATE,Sexual_orientation,gpt_source_15,864,864,864,0,100.0,100.0,100.0,100.0,,0.0,,0.0,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_low,gpt_5_5,GPT 5.5,reasoning_low,GPT 5.5 nhá,INFERRED_FROM_MOJIBAKE,REPORTED_AGGREGATE,Age,gpt_source_15,3680,3680,3680,0,100.0,50.70652174,71.52173913,29.89130435,-0.07608695652,-0.06980961015,-7.608695652,-6.980961015,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_low,gpt_5_5,GPT 5.5,reasoning_low,GPT 5.5 nhá,INFERRED_FROM_MOJIBAKE,REPORTED_AGGREGATE,Disability_status,gpt_source_15,1556,1556,1556,0,100.0,61.31105398,77.89203085,44.73007712,0.01028277635,0.08776978417,1.028277635,8.776978417,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_low,gpt_5_5,GPT 5.5,reasoning_low,GPT 5.5 nhá,INFERRED_FROM_MOJIBAKE,REPORTED_AGGREGATE,Gender_identity,gpt_source_15,672,656,672,0,100.0,50.6097561,76.82926829,24.3902439,0.01219512195,0.2073170732,1.219512195,20.73170732,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_low,gpt_5_5,GPT 5.5,reasoning_low,GPT 5.5 nhá,INFERRED_FROM_MOJIBAKE,REPORTED_AGGREGATE,Gender_identity (names),gpt_source_15,5000,5000,5000,0,100.0,47.3,77.52,17.08,0.012,0.039647577090000004,1.2,3.964757709,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_low,gpt_5_5,GPT 5.5,reasoning_low,GPT 5.5 nhá,INFERRED_FROM_MOJIBAKE,REPORTED_AGGREGATE,Nationality,gpt_source_15,3080,3080,3080,0,100.0,63.37662338,80.38961039,46.36363636,-0.04285714286,-0.00694444444,-4.285714286,-0.694444444,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_low,gpt_5_5,GPT 5.5,reasoning_low,GPT 5.5 nhá,INFERRED_FROM_MOJIBAKE,REPORTED_AGGREGATE,Physical_appearance,gpt_source_15,1576,1576,1576,0,100.0,55.32994924,70.30456853,40.35532995,0.02284263959,0.1006289308,2.284263959,10.06289308,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_low,gpt_5_5,GPT 5.5,reasoning_low,GPT 5.5 nhá,INFERRED_FROM_MOJIBAKE,REPORTED_AGGREGATE,Race_ethnicity,gpt_source_15,1880,1880,1880,0,100.0,61.11702128,76.80851064,45.42553191,0.01914893617,0.1396332863,1.914893617,13.96332863,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_low,gpt_5_5,GPT 5.5,reasoning_low,GPT 5.5 nhá,INFERRED_FROM_MOJIBAKE,REPORTED_AGGREGATE,Race_ethnicity (names),gpt_source_15,5000,5000,5000,0,100.0,57.82,82.4,33.24,0.0064,-0.00299850075,0.64,-0.299850075,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_low,gpt_5_5,GPT 5.5,reasoning_low,GPT 5.5 nhá,INFERRED_FROM_MOJIBAKE,REPORTED_AGGREGATE,Race_x_SES,gpt_source_15,3360,3360,3360,0,100.0,61.66666667,77.5,45.83333333,0.0035714285699999996,-0.00506879073,0.357142857,-0.506879073,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_low,gpt_5_5,GPT 5.5,reasoning_low,GPT 5.5 nhá,INFERRED_FROM_MOJIBAKE,REPORTED_AGGREGATE,Race_x_SES (names),gpt_source_15,7800,7800,7800,0,100.0,57.58974359,76.87179487,38.30769231,-0.03641025641,-0.04802867384,-3.641025641,-4.802867384,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_low,gpt_5_5,GPT 5.5,reasoning_low,GPT 5.5 nhá,INFERRED_FROM_MOJIBAKE,REPORTED_AGGREGATE,Race_x_gender,gpt_source_15,4560,4560,4560,0,100.0,60.74561404,80.1754386,41.31578947,0.01929824561,0.00656455142,1.929824561,0.656455142,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_low,gpt_5_5,GPT 5.5,reasoning_low,GPT 5.5 nhá,INFERRED_FROM_MOJIBAKE,REPORTED_AGGREGATE,Race_x_gender (names),gpt_source_15,11400,11400,11400,0,100.0,57.57017544,80.42105263,34.71929825,-0.01614035088,-0.0031886190800000003,-1.614035088,-0.318861908,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_low,gpt_5_5,GPT 5.5,reasoning_low,GPT 5.5 nhá,INFERRED_FROM_MOJIBAKE,REPORTED_AGGREGATE,Religion,gpt_source_15,1200,1200,1200,0,100.0,59.0,80.0,38.0,-0.03333333333,-0.04278074866,-3.333333333,-4.278074866,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_low,gpt_5_5,GPT 5.5,reasoning_low,GPT 5.5 nhá,INFERRED_FROM_MOJIBAKE,REPORTED_AGGREGATE,SES,gpt_source_15,6864,6864,6864,0,100.0,54.66200466,75.17482517,34.14918415,0.07575757576,0.47422680409999995,7.575757576,47.42268041,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_low,gpt_5_5,GPT 5.5,reasoning_low,GPT 5.5 nhá,INFERRED_FROM_MOJIBAKE,REPORTED_AGGREGATE,Sexual_orientation,gpt_source_15,864,864,864,0,100.0,50.92592593,71.2962963,30.55555556,0.03703703704,-0.00694444444,3.703703704,-0.694444444,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_6_lunawork__reasoning_medium,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_medium,GPT 5.6 LunaWork vá»,INFERRED_FROM_MOJIBAKE,REPORTED_AGGREGATE,Age,gpt_source_15,3680,3680,3680,0,100.0,56.49456522,85.32608696,27.66304348,0.0021739130400000002,0.01038575668,0.217391304,1.038575668,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_6_lunawork__reasoning_medium,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_medium,GPT 5.6 LunaWork vá»,INFERRED_FROM_MOJIBAKE,REPORTED_AGGREGATE,Disability_status,gpt_source_15,1556,1556,1556,0,100.0,59.64010283,89.71722365,29.56298201,-0.0051413881699999995,-0.46976744189999997,-0.514138817,-46.97674419,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_6_lunawork__reasoning_medium,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_medium,GPT 5.6 LunaWork vá»,INFERRED_FROM_MOJIBAKE,REPORTED_AGGREGATE,Gender_identity,gpt_source_15,672,656,672,0,100.0,62.34756098,92.07317073,32.62195122,0.01219512195,-0.031496062990000004,1.219512195,-3.149606299,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_6_lunawork__reasoning_medium,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_medium,GPT 5.6 LunaWork vá»,INFERRED_FROM_MOJIBAKE,REPORTED_AGGREGATE,Gender_identity (names),gpt_source_15,5000,5000,5000,0,100.0,55.0,87.0,23.0,0.013999999999999999,0.00258397933,1.4,0.258397933,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_6_lunawork__reasoning_medium,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_medium,GPT 5.6 LunaWork vá»,INFERRED_FROM_MOJIBAKE,REPORTED_AGGREGATE,Nationality,gpt_source_15,3080,3080,3080,0,100.0,57.01298701,74.22077922,39.80519481,0.00584415584,-0.01218521527,0.584415584,-1.218521527,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_6_lunawork__reasoning_medium,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_medium,GPT 5.6 LunaWork vá»,INFERRED_FROM_MOJIBAKE,REPORTED_AGGREGATE,Physical_appearance,gpt_source_15,1576,1576,1576,0,100.0,52.79187817,70.55837563,35.02538071,0.00507614213,-0.041292639140000004,0.507614213,-4.129263914,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_6_lunawork__reasoning_medium,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_medium,GPT 5.6 LunaWork vá»,INFERRED_FROM_MOJIBAKE,REPORTED_AGGREGATE,Race_ethnicity,gpt_source_15,1880,1880,1880,0,100.0,56.06382979,82.0212766,30.10638298,-0.00319148936,-0.01045296167,-0.319148936,-1.045296167,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_6_lunawork__reasoning_medium,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_medium,GPT 5.6 LunaWork vá»,INFERRED_FROM_MOJIBAKE,REPORTED_AGGREGATE,Race_ethnicity (names),gpt_source_15,5000,5000,5000,0,100.0,54.64,77.12,32.16,0.0016,-0.0006027727499999999,0.16,-0.060277275,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
